group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
small,50,-18.05000000000001,-155.05,-205.05,48.8,34.81
medium,400,603.54,-492.4599999999999,-892.4599999999998,49.16625,45.4525
large,1722,1748.9699999999998,-2969.309999999999,-4691.3099999999995,77.65505226480836,68.91405342624854
