phase12a_rank,candidate_id,instrument,branch,side,od_window,od_start,od_end,pullback_anchor,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,first_pullback_only_count,skipped_non_first_pullbacks,phase12a_label,research_axis_status,phase12a_score,reject_reasons
11,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,54,54,1.0,318.15,170.19,170.19,170.19,116.19,302.58,-5.1,-539.5,0.941653,0.941653,63.85,62.81,0.425926,0.425926,0.148148,593.21,561.21,0.666667,-47.46,0,54,150,phase12a_rejected_low_activity,axis_positive_but_unstable,-3820.365,low activity; negative holdout; fold instability; concentration
12,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,54,54,1.0,368.82,220.86,220.86,220.86,166.86,315.08,131.9,-651.45,0.884089,0.884089,77.44,73.8,0.481481,0.0,0.518519,274.88,242.88,0.833333,-233.29,0,54,150,phase12a_rejected_low_activity,axis_positive_but_concentrated,-3912.155,low activity; fold instability; concentration
13,MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,18,18,1.0,-24.96,-74.28,-74.28,-74.28,-92.28,49.78,170.52,-305.64,1.0,1.0,57.14,54.33,0.111111,0.888889,0.0,218.06,212.06,0.5,-3.24,0,18,14,phase12a_rejected_low_activity,axis_failed,-4435.86,low activity; negative stress; fold instability; concentration
14,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,46,46,1.0,123.55,-2.49,-2.49,-2.49,-48.49,30.11,53.88,-203.37,1.0,1.0,45.32,42.41,0.173913,0.76087,0.065217,83.1,52.1,0.5,-116.17,0,46,32,phase12a_rejected_low_activity,axis_positive_but_cost_sensitive,-4449.76,low activity; negative stress; fold instability; concentration
15,MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,34,34,1.0,85.41,-7.75,-7.75,-7.75,-41.75,-29.44,339.8,-391.19,1.0,1.0,54.49,49.56,0.264706,0.735294,0.0,153.57,137.57,0.666667,-178.55,0,34,49,phase12a_rejected_low_activity,axis_positive_but_cost_sensitive,-4545.37,low activity; negative stress; negative validation; fold instability; concentration
16,MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,57,57,1.0,110.18,-46.0,-46.0,-46.0,-103.0,-10.16,-285.62,-458.44,1.0,1.0,67.54,66.01,0.596491,0.0,0.403509,72.6,37.6,0.5,-273.96,0,57,104,phase12a_rejected_low_activity,axis_positive_but_cost_sensitive,-4773.84,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
17,MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,48,48,1.0,-14.33,-145.85,-145.85,-145.85,-193.85,-131.13,-22.94,-434.89,1.0,1.0,47.31,54.68,0.395833,0.375,0.229167,11.12,-19.88,0.666667,-223.24,0,48,33,phase12a_rejected_low_activity,axis_failed,-4898.62,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
18,MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,ema20_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,35,35,1.0,-179.15,-275.05,-275.05,-275.05,-310.05,-390.27,67.52,-549.01,1.0,1.0,86.16,84.36,0.457143,0.0,0.542857,47.61,26.61,0.333333,-321.05,0,35,38,phase12a_rejected_low_activity,axis_failed,-5082.45,low activity; negative stress; negative validation; fold instability; concentration
19,MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,44,44,1.0,-20.5,-141.06,-141.06,-141.06,-185.06,-422.4,-8.22,-543.36,1.0,1.0,89.39,76.68,0.522727,0.295455,0.181818,-168.24,-194.24,0.333333,-404.44,0,44,104,phase12a_rejected_low_activity,axis_failed,-5172.66,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
20,MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,60,60,1.0,-134.7,-299.1,-299.1,-299.1,-359.1,226.38,-403.55,-549.05,1.0,1.0,50.62,51.12,0.5,0.35,0.15,-0.4,-37.4,0.666667,-517.85,0,60,106,phase12a_rejected_negative_stress,axis_failed,-5195.55,negative stress; negative holdout; fold instability; concentration
