group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
middle,90,796.44,549.84,459.84000000000003,44.62777777777778,23.211111111111112
wide,2082,1538.0199999999998,-4166.659999999999,-6248.659999999999,72.9164265129683,65.5631604226705
