candidate_id,signal_time,confirmation_time,entry_time,trading_session,module_family,side,trigger_model,confirmation_model,exit_variant,trigger_level,signal_open,signal_high,signal_low,signal_close,atr,morning_high,morning_low,morning_midpoint,morning_range,power_range_high,power_range_low,power_range_midpoint,power_range_width,lunch_high,lunch_low,lunch_midpoint,lunch_range,lunch_low_vol_threshold,lunch_prior_sessions_used,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved,split
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-14 13:45:00-04:00,2025-07-14 13:45:00-04:00,2025-07-14 13:50:00-04:00,2025-07-14,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23037.779088236763,23048.75,23051.75,23036.25,23050.0,12.767857142857142,23022.75,22842.5,22932.625,180.25,23067.75,23035.5,23051.625,32.25,23064.25,22988.75,23026.5,75.5,,0,6,23050.0,2025-07-14 14:00:00-04:00,23036.0,stop,23036.0,23034.0402,23036.0,23071.0,-28.0,-30.74,-31.74,15.0,29.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-17 13:25:00-04:00,2025-07-17 13:25:00-04:00,2025-07-17 13:30:00-04:00,2025-07-17,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23249.303164651392,23257.0,23259.25,23240.5,23258.5,12.785714285714286,23244.25,23065.75,23155.0,178.5,23281.0,23236.0,23258.5,45.0,23276.0,23216.75,23246.375,59.25,93.9,3,8,23258.5,2025-07-17 14:00:00-04:00,23262.5,time_stop,23240.25,23242.5179,23242.5179,23282.4732,8.0,5.26,4.26,45.0,11.0,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-21 14:00:00-04:00,2025-07-21 14:00:00-04:00,2025-07-21 14:05:00-04:00,2025-07-21,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23407.719254678956,23411.5,23414.75,23406.5,23410.75,9.196428571428571,23425.0,23255.0,23340.0,170.0,23423.5,23400.5,23412.0,23.0,23422.5,23358.75,23390.625,63.75,80.0,5,3,23410.5,2025-07-21 14:10:00-04:00,23406.25,stop,23406.25,23399.0045,23406.25,23416.875,-8.5,-11.24,-12.24,8.0,20.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-24 13:00:00-04:00,2025-07-24 13:00:00-04:00,2025-07-24 13:05:00-04:00,2025-07-24,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23367.123231320646,23370.0,23378.25,23366.25,23377.25,14.696428571428571,23400.75,23298.5,23349.625,102.25,23425.0,23380.75,23402.875,44.25,23421.75,23340.0,23380.875,81.75,81.5,8,6,23376.75,2025-07-24 13:35:00-04:00,23397.0,time_stop,23366.0,23358.3795,23366.0,23392.875,40.5,37.76,36.76,90.0,0.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-25 13:20:00-04:00,2025-07-25 13:20:00-04:00,2025-07-25 13:25:00-04:00,2025-07-25,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23440.78621942038,23437.25,23446.75,23431.75,23446.5,12.0,23423.25,23330.25,23376.75,93.0,23459.75,23428.5,23444.125,31.25,23477.0,23402.0,23439.5,75.0,82.0,9,7,23446.25,2025-07-25 13:55:00-04:00,23439.0,time_stop,23431.5,23431.25,23431.5,23468.375,-14.5,-17.24,-18.24,18.0,20.0,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-06 13:55:00-04:00,2025-08-06 13:55:00-04:00,2025-08-06 14:00:00-04:00,2025-08-06,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23367.925181136066,23365.25,23376.5,23363.5,23373.25,15.303571428571429,23331.25,23148.75,23240.0,182.5,23423.0,23363.5,23393.25,59.5,23389.5,23298.25,23343.875,91.25,82.25,17,0,23373.0,2025-08-06 14:30:00-04:00,23427.5,time_stop,23363.25,23353.8705,23363.25,23387.625,109.0,106.26,105.26,112.5,5.0,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-08 13:00:00-04:00,2025-08-08 13:00:00-04:00,2025-08-08 13:05:00-04:00,2025-08-08,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23677.223613872422,23676.75,23680.75,23659.25,23677.5,15.892857142857142,23702.75,23530.0,23616.375,172.75,23724.5,23660.25,23692.375,64.25,23706.75,23612.0,23659.375,94.75,83.65,19,6,23677.25,2025-08-08 13:15:00-04:00,23659.0,stop,23659.0,23657.3839,23659.0,23704.625,-36.5,-39.24,-40.24,12.0,44.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-12 14:40:00-04:00,2025-08-12 14:40:00-04:00,2025-08-12 14:45:00-04:00,2025-08-12,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23906.303984417034,23910.5,23914.5,23905.25,23912.25,11.107142857142858,23861.0,23622.0,23741.5,239.0,23932.5,23885.25,23908.875,47.25,23911.5,23821.25,23866.375,90.25,86.25,21,5,23912.25,2025-08-12 15:00:00-04:00,23905.0,stop,23905.0,23898.3661,23905.0,23923.125,-14.5,-17.24,-18.24,9.5,14.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-22 13:00:00-04:00,2025-08-22 13:00:00-04:00,2025-08-22 13:05:00-04:00,2025-08-22,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23553.14087919728,23528.25,23556.25,23527.75,23554.0,25.696428571428573,23650.0,23206.25,23428.125,443.75,23625.25,23587.25,23606.25,38.0,23645.75,23507.0,23576.375,138.75,87.10000000000001,29,7,23554.25,2025-08-22 13:35:00-04:00,23609.5,time_stop,23527.5,23522.1295,23527.5,23594.375,110.5,107.76,106.76,129.0,2.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-25 15:05:00-04:00,2025-08-25 15:05:00-04:00,2025-08-25 15:10:00-04:00,2025-08-25,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,23567.788709003693,23553.0,23568.75,23551.0,23568.25,12.892857142857142,23603.75,23445.0,23524.375,158.75,23591.0,23553.5,23572.25,37.5,23616.75,23570.0,23593.375,46.75,87.8,30,0,23568.0,2025-08-25 15:15:00-04:00,23551.8839,stop,23550.75,23551.8839,23551.8839,23592.1741,-32.23,-34.97,-35.97,11.5,44.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,discovery
