candidate_id,module_family,trigger_model,side,average_correlation_to_registry,max_correlation_to_registry
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.035254,0.114741
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.035254,0.114741
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.025508,0.101604
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.025508,0.101604
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.055969,0.218876
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.055969,0.218876
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.05565,0.131202
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.05565,0.131202
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.123365,0.422202
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.123365,0.422202
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.102293,0.387934
