group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
close_confirm_fill_next_open,324,-5637.54,-6525.3,-6849.3,95.1003086419753,94.95524691358025
two_bar_confirm_fill_next_open,284,-6544.67,-7322.83,-7606.83,85.37676056338029,104.50176056338029
