candidate_id,session_date,session_pnl,session_trades,weekday,signal_density,best_trade_pnl,worst_trade_pnl,first_entry_time,last_entry_time
exclude_wednesday__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-02-06,467.52,2,Friday,2,236.76,230.76,2026-02-06 09:36:00-05:00,2026-02-06 10:55:00-05:00
exclude_wednesday__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
exclude_wednesday__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-03-30,-394.72,3,Monday,3,-52.74,-217.74,2026-03-30 09:36:00-04:00,2026-03-30 12:06:00-04:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-02-05,-392.48,2,Thursday,2,-3.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 10:00:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-02-17,-359.48,2,Tuesday,2,-3.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2025-11-21,-330.98,2,Friday,2,-121.74,-209.24,2025-11-21 09:36:00-05:00,2025-11-21 09:53:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2025-11-21,-334.22,3,Friday,3,-3.24,-209.24,2025-11-21 09:36:00-05:00,2025-11-21 10:11:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2025-12-16,-332.22,3,Tuesday,3,-3.24,-209.24,2025-12-16 09:37:00-05:00,2025-12-16 10:15:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-01-09,-324.22,3,Friday,3,-3.24,-194.74,2026-01-09 09:38:00-05:00,2026-01-09 10:09:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-359.48,2,Tuesday,2,-3.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-02-06,-268.98,2,Friday,2,-132.24,-136.74,2026-02-06 09:36:00-05:00,2026-02-06 10:26:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-359.48,2,Tuesday,2,-3.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-02-06,-268.98,2,Friday,2,-132.24,-136.74,2026-02-06 09:36:00-05:00,2026-02-06 10:26:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-06-11,-274.98,2,Thursday,2,-107.24,-167.74,2026-06-11 09:36:00-04:00,2026-06-11 10:40:00-04:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-02-17,-267.48,2,Tuesday,2,88.76,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:56:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
