scheduler_variant,portfolio_mode,regime_filter,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,best_day_concentration_delta_vs_portfolio_audit_d_best,best_trade_concentration_delta_vs_portfolio_audit_d_best
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
phase13a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase13a_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
phase14a_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
phase14a_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
phase14a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase14a_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
phase15a_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
phase15a_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
phase15a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase15a_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
rare_setup_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
