phase5i_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,regime_filter,phase5i_score,phase5i_label,phase5i_notes
33,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-693.19,969.755,870.755,33,24,0.266667,0.393939,29.386515,-450.755,-654.015,2.144459,1.485726,2,0.666667,-45.0245,robust_research_candidate,low test active-session coverage; test concentration risk,gap_abs_bucket=mid,-382.9118,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
34,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-381.0,4098.235,3930.235,56,38,0.422222,0.535714,73.182768,200.68,-921.595,2.367052,1.909807,3,1.0,-4.4906,robust_research_candidate,test concentration risk,prior_range_bucket=high,-406.5912,watchlist_concentrated,day concentration remains; trade concentration remains
35,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-188.06,271.795,205.795,22,16,0.177778,0.409091,12.354318,-112.46,-382.63,1.953482,1.953482,2,0.666667,-61.3287,robust_research_candidate,low test active-session coverage; test concentration risk; too few test trades,prior_range_bucket=low,-434.6119,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
36,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-675.56,3939.92,3783.92,52,35,0.388889,0.480769,75.767692,195.975,-826.585,2.423881,2.065365,3,1.0,-12.3979,robust_research_candidate,test concentration risk,gap_abs_bucket=high,-438.6392,watchlist_concentrated,day concentration remains; trade concentration remains
37,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,19.85,156.86,93.86,21,15,0.166667,0.380952,7.469524,-99.96,-340.805,2.935392,2.935392,2,0.666667,-112.0479,robust_research_candidate,low test active-session coverage; test concentration risk; too few test trades,prior_range_bucket=low,-711.6614,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
38,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-799.215,-94.96,-196.96,34,22,0.244444,0.264706,-2.792941,-365.07,-456.91,3.310134,5.532427,2,0.666667,-189.3767,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk,prior_range_bucket=mid,-1131.5737,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
39,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-1120.86,-416.02,-515.02,33,21,0.233333,0.272727,-12.606667,-525.13,-598.885,5.955855,6.723486,2,0.666667,-291.2312,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk,prior_range_bucket=mid,-1674.4447,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
40,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-838.18,708.205,609.205,33,23,0.255556,0.393939,21.460758,-468.805,-648.565,9.2443,5.911549,2,0.666667,-337.0448,robust_research_candidate,low test active-session coverage; test concentration risk,gap_abs_bucket=mid,-2001.2153,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
41,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,31.73,-809.05,-884.05,25,16,0.177778,0.36,-32.362,-1103.15,-924.335,8.886881,8.886881,2,0.666667,-429.064,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; large negative test fold; too few test trades,gap_abs_bucket=low,-2394.9684,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
42,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-291.335,586.84,529.84,19,16,0.177778,0.473684,30.886316,13.105,-296.99,11.611599,23.560473,3,1.0,-829.616,robust_research_candidate,low test active-session coverage; test concentration risk; too few test trades,prior_range_bucket=low,-4794.457,watchlist_concentrated,day concentration remains; trade concentration remains
43,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,336.425,348.83,324.83,8,6,0.1,0.5,43.60375,0.0,-187.38,12.080584,24.779188,2,0.666667,-884.9209,rejected,low test active-session coverage; test concentration risk; too few test trades,gap_abs_bucket=low;or_width_bucket=mid,-5047.1702,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
44,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,584.52,-492.23,-528.23,12,8,0.088889,0.416667,-41.019167,-1056.65,-885.335,12.080584,24.779188,2,0.666667,-903.6195,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; large negative test fold; too few test trades,gap_abs_bucket=low;prior_range_bucket=high,-5062.1421,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
45,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-904.85,-215.145,-314.145,33,22,0.244444,0.272727,-6.519545,-370.255,-450.695,60.904085,104.17762,2,0.666667,-4097.0991,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk,prior_range_bucket=mid,-23007.1271,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
