group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
medium,76,993.13,784.8899999999999,708.8899999999999,61.19736842105263,42.64473684210526
small,16,-243.05,-286.89,-302.89,19.03125,23.28125
large,2080,1584.3799999999999,-4114.819999999999,-6194.819999999999,72.53509615384615,64.89326923076923
