phase5n_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase5n_score,phase5n_label,phase5n_notes
24,MNQ_vwap_reclaim_rejection_tf1_47d2f9e798,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":90}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-84.7999,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-3936.480000000006,-1277.7200000000012,-338.6600000000012,-8892.480000000007,1652,858,0.9522752497225304,0.4037530266343825,-2.3828571428571466,0.8773200695600141,-4013.319999999821,-70.98,15,1.0,1.0,30,2.74,3.74,-387.3972,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
25,MNQ_vwap_reclaim_rejection_tf3_dfb27e4111,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":90}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-90.737,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4630.020000000006,-865.9800000000012,-548.740000000001,-9499.020000000008,1623,853,0.946725860155383,0.3961799137399877,-2.8527541589648835,0.8543638748478375,-4681.299999999792,-78.48,18,1.0,1.0,27,2.74,3.74,-392.1688,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
26,MNQ_opening_range_failure_tf1_3ab61082a9,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":10,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-89.7833,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4852.400000000009,70.89000000001852,-1559.3550000000455,-7387.400000000007,845,845,0.9378468368479468,0.5136094674556213,-5.742485207100602,0.8299312455948565,-5754.78999999991,-260.3149999999971,8,1.0,1.0,4,2.74,3.74,-393.1658,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
27,MNQ_prior_session_levels_tf3_af39223808,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""sweep_reverse""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-96.2867,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4251.760000000004,-1865.6200000000008,-473.4200000000012,-7323.760000000004,1024,574,0.6370699223085461,0.2841796875,-4.152109375000004,0.8551429539013784,-5886.399999999914,-284.98,18,1.0,1.0,11,2.74,3.74,-393.5658,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
28,MNQ_vwap_reclaim_rejection_tf3_ed2a677c7b,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-94.8518,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4460.900000000006,-1041.2200000000012,-879.7400000000009,-9365.900000000009,1635,853,0.946725860155383,0.3969418960244648,-2.72837920489297,0.7988287521240477,-4564.959999999831,-58.48,14,1.0,1.0,69,2.74,3.74,-394.6856,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
29,MNQ_prior_session_levels_tf1_462e339342,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,prior_session_levels,1,rejected,-93.9848,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-3525.840000000004,-786.660000000001,-2014.600000000001,-7998.840000000005,1491,765,0.8490566037735849,0.4077800134138162,-2.3647484909456766,0.8244140311806224,-3578.919999999965,-50.48,11,1.0,1.0,87,2.74,3.74,-394.8605,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
30,MNQ_prior_session_levels_tf3_4694771cc6,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-96.6837,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4058.260000000004,-849.700000000001,-1594.440000000001,-8480.260000000006,1474,749,0.8312985571587126,0.4002713704206241,-2.75322930800543,0.7979171563218297,-4062.7799999999065,-49.48,15,1.0,1.0,70,2.74,3.74,-395.7634,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
31,MNQ_opening_range_failure_tf1_bcf521bc49,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":20,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-64.8975,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-6276.409999999925,-3054.1799999999776,980.9199999999988,-8793.409999999925,839,839,0.9311875693673696,0.4851013110846245,-7.48082240762804,0.8372341678038282,-9626.949999999835,-374.5400000000029,12,1.0,1.0,3,2.74,3.74,-397.7819,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split
32,MNQ_opening_range_failure_tf1_61f4235e9e,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-82.0277,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-5135.459999999954,-2364.265000000029,-13.324999999999363,-9512.459999999955,1459,839,0.9311875693673696,0.5140507196710076,-3.519849211788865,0.9061561531379786,-8105.849999999834,-562.4299999999971,16,1.0,1.0,4,2.74,3.74,-398.9224,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split; negative holdout split
33,MNQ_opening_range_failure_tf1_9ebc611b83,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":20,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-64.7177,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-7245.334999999904,-3373.139999999968,1041.445000000008,-11382.334999999905,1379,839,0.9311875693673696,0.4974619289340101,-5.254050036258088,0.8785383092492964,-10428.94999999974,-688.5800000000058,13,1.0,1.0,5,2.74,3.74,-400.2044,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split
