phase8m_rank,candidate_id,base_filter,exit_model,risk_model,max_trades_per_day,min_minutes_between_entries,stop_after_loss,stop_after_win,daily_loss_lockout_r,daily_profit_lockout_r,diagnostic_only,source_trades,trades,removed_trades,active_days,active_days_pct,trades_per_active_day,net_pnl,stress_pnl,discovery_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,walk_forward_test_trades,positive_wf_test_folds,positive_wf_test_folds_pct,worst_wf_test_fold,walk_forward_folds,max_drawdown,walk_forward_max_drawdown,best_day_pnl,best_day_concentration,best_trade_pnl,best_trade_concentration,walk_forward_day_concentration,walk_forward_trade_concentration,phase8m_score,phase8m_label,reject_reasons
80,base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,False,2165,245,1920,175,1.0,1.4,2239.7,1994.7,1461.22,122.98,655.5,396.3,291.3,105,2,0.666667,-550.66,3,-1174.06,-838.9,467.52,0.208742,403.76,0.180274,7.055772,5.054657,4.6368,phase8m_rejected_low_activity,low trade count; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
81,exclude_10_00_10_30_plus_no_wednesday__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,horizon_close_15m,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,30,True,False,1.0,none,True,2165,200,1965,139,0.794286,1.438849,2476.5,2276.5,905.46,85.12,1485.92,1373.36,1287.36,86,1,0.333333,-105.22,3,-870.52,-502.66,403.76,0.163037,403.76,0.163037,1.0,1.0,2.0121,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
82,exclude_wednesday__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_wednesday,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,True,2165,197,1968,139,0.794286,1.417266,2588.72,2391.72,1122.94,104.12,1361.66,1097.34,1013.34,84,1,0.333333,-219.72,3,-1055.76,-592.66,467.52,0.180599,403.76,0.155969,1.0,1.0,-1.1293,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
83,exclude_10_00_10_30__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,False,2165,243,1922,175,1.0,1.388571,1900.68,1657.68,1122.2,122.98,655.5,466.06,360.06,106,2,0.666667,-480.9,3,-1104.3,-838.9,467.52,0.245975,403.76,0.212429,7.055772,5.054657,-4.7259,phase8m_rejected_low_activity,low trade count; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
84,exclude_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,60,False,False,2.0,none,True,2165,240,1925,139,0.794286,1.726619,1455.28,1215.28,365.62,266.92,822.74,1341.96,1238.96,103,3,1.0,57.0,3,-679.89,-216.48,357.47,0.245637,357.47,0.245637,3.826491,3.883333,-7.1212,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
85,exclude_10_00_10_30_plus_no_wednesday__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,True,2165,196,1969,139,0.794286,1.410072,2267.46,2071.46,801.68,104.12,1361.66,1167.1,1082.1,85,1,0.333333,-149.96,3,-1055.76,-592.66,467.52,0.206187,403.76,0.178067,1.0,1.0,-7.8826,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
86,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,True,2165,160,2005,139,0.794286,1.151079,1200.81,1040.81,548.58,213.47,438.76,894.51,823.51,71,3,1.0,190.24,3,-303.65,-252.01,357.47,0.297691,357.47,0.297691,1.146499,1.16353,-22.8773,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
87,exclude_10_00_10_30__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,False,2165,202,1963,175,1.0,1.154286,1028.05,826.05,505.6,68.08,454.37,719.99,629.99,90,3,1.0,44.1,3,-318.57,-267.57,357.47,0.347717,357.47,0.347717,4.945805,5.019274,-26.3061,phase8m_rejected_low_activity,low trade count; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
88,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,30,True,False,1.0,none,True,2165,162,2003,139,0.794286,1.165468,1103.46,941.46,665.92,-54.74,492.28,710.82,638.82,72,3,1.0,140.36,3,-297.21,-252.01,357.47,0.323954,357.47,0.323954,1.689912,1.643488,-30.1619,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
89,exclude_10_00_10_30_plus_no_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,exclude_10_00_10_30_plus_no_wednesday,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,30,False,True,none,1.5,True,2165,218,1947,139,0.794286,1.568345,794.68,576.68,-808.88,607.16,996.4,1840.86,1754.86,86,3,1.0,450.54,3,-1490.67,-387.4,280.01,0.352356,280.01,0.352356,0.323523,0.323523,-35.8268,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
