phase8m_rank,candidate_id,base_filter,exit_model,risk_model,max_trades_per_day,min_minutes_between_entries,stop_after_loss,stop_after_win,daily_loss_lockout_r,daily_profit_lockout_r,diagnostic_only,source_trades,trades,removed_trades,active_days,active_days_pct,trades_per_active_day,net_pnl,stress_pnl,discovery_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,walk_forward_test_trades,positive_wf_test_folds,positive_wf_test_folds_pct,worst_wf_test_fold,walk_forward_folds,max_drawdown,walk_forward_max_drawdown,best_day_pnl,best_day_concentration,best_trade_pnl,best_trade_concentration,walk_forward_day_concentration,walk_forward_trade_concentration,phase8m_score,phase8m_label,reject_reasons
100,exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,exclude_wednesday,vwap_failure_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,30,False,True,none,1.5,True,2165,233,1932,139,0.794286,1.676259,926.1,693.1,292.64,-77.9,711.36,871.3,773.3,98,2,0.666667,-91.79,3,-803.8,-329.63,357.47,0.385995,357.47,0.385995,1.0,1.0,-54.054,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
101,exclude_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,True,2165,161,2004,139,0.794286,1.158273,848.88,687.88,196.65,213.47,438.76,894.51,823.51,71,3,1.0,190.24,3,-642.65,-252.01,357.47,0.421108,357.47,0.421108,1.146499,1.16353,-55.6858,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
102,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
103,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
104,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
105,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
106,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
107,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
108,exclude_10_00_10_30__vwap_failure_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,exclude_10_00_10_30,vwap_failure_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,60,True,True,1.0,1.0,False,2165,175,1990,175,1.0,1.0,809.49,634.49,477.02,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-401.81,-300.27,357.47,0.441599,357.47,0.441599,1.161999,1.161999,-59.1065,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
109,base_pre_14_00__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,False,2165,203,1962,175,1.0,1.16,677.38,474.38,154.93,68.08,454.37,719.99,629.99,90,3,1.0,44.1,3,-751.94,-267.57,357.47,0.527724,357.47,0.527724,4.945805,5.019274,-73.51,phase8m_rejected_low_activity,low trade count; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
110,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
111,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
112,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
113,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
114,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
115,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
116,exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,exclude_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,60,True,True,1.0,1.0,True,2165,139,2026,139,0.794286,1.0,694.45,555.45,181.56,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-632.81,-202.96,357.47,0.514753,357.47,0.514753,1.710984,1.710984,-79.8191,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
117,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
118,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
119,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
120,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
121,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
122,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
123,base_pre_14_00__vwap_failure_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,vwap_failure_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,60,True,True,1.0,1.0,False,2165,175,1990,175,1.0,1.0,482.03,307.03,149.56,-208.53,541.0,536.49,461.49,75,2,0.666667,-73.89,3,-750.49,-300.27,357.47,0.741593,357.47,0.741593,1.161999,1.161999,-136.0172,phase8m_rejected_low_activity,low trade count; negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
124,exclude_wednesday__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,exclude_wednesday,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,60,False,False,2.0,none,True,2165,240,1925,139,0.794286,1.726619,306.15,66.15,-1112.3,806.23,612.22,1689.28,1586.28,103,3,1.0,494.61,3,-1635.85,-526.87,280.01,0.914617,280.01,0.914617,0.359285,0.33502,-179.8367,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
125,base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,60,False,False,2.0,none,False,2165,301,1864,175,1.0,1.72,-418.74,-719.74,-1523.2,856.86,247.6,1211.81,1080.81,131,3,1.0,190.95,3,-2281.24,-518.46,291.77,1.0,295.01,1.0,0.852705,0.862174,-197.517,phase8m_rejected_negative_stress,negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
126,base_pre_14_00__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,fixed_r_1_5_time30,mt3_gap60_sal0_saw0_dl2.0_dp2.0,3,60,False,False,2.0,2.0,False,2165,334,1831,175,1.0,1.908571,-704.66,-1038.66,-2002.52,972.92,324.94,1405.21,1259.21,146,3,1.0,155.21,3,-2561.81,-518.46,291.77,1.0,295.01,1.0,1.87984,1.900715,-198.1124,phase8m_rejected_negative_stress,negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
127,exclude_10_00_10_30__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,60,False,False,2.0,none,False,2165,300,1865,175,1.0,1.714286,-604.0,-904.0,-1708.46,856.86,247.6,1188.81,1057.81,131,3,1.0,167.95,3,-2271.99,-518.46,291.77,1.0,295.01,1.0,0.852705,0.867877,-198.1304,phase8m_rejected_negative_stress,negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
128,exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,exclude_wednesday,vwap_failure_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,30,True,False,1.0,none,True,2165,166,1999,139,0.794286,1.194245,364.54,198.54,99.59,-153.41,418.36,507.23,432.23,75,3,1.0,91.52,3,-668.59,-232.03,357.47,0.980606,357.47,0.980606,2.48514,2.520542,-198.4201,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
129,exclude_10_00_10_30__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,exclude_10_00_10_30,fixed_r_1_5_time30,mt3_gap60_sal0_saw0_dl2.0_dp2.0,3,60,False,False,2.0,2.0,False,2165,333,1832,175,1.0,1.902857,-793.92,-1126.92,-2091.78,972.92,324.94,1382.21,1236.21,146,3,1.0,155.21,3,-2555.8,-518.46,291.77,1.0,295.01,1.0,1.87984,1.900715,-198.4464,phase8m_rejected_negative_stress,negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
130,exclude_10_00_10_30__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,60,True,False,1.0,none,False,2165,208,1957,175,1.0,1.188571,-535.92,-743.92,-1157.3,501.43,119.95,770.21,674.21,96,3,1.0,28.58,3,-1773.09,-393.9,291.77,1.0,295.01,1.0,7.663401,5.030091,-198.7699,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
131,base_pre_14_00__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
132,base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
133,base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
134,base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
135,base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
136,base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
137,base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,60,True,True,1.0,1.0,False,2165,175,1990,175,1.0,1.0,-637.0,-812.0,-1259.45,279.85,342.6,776.75,701.75,75,3,1.0,90.0,3,-1877.44,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.7755,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
138,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
139,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
140,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
141,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
142,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
143,exclude_10_00_10_30__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,fixed_r_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,False,2165,175,1990,175,1.0,1.0,-652.25,-827.25,-1274.7,279.85,342.6,757.25,682.25,75,3,1.0,90.0,3,-1882.94,-296.22,295.01,1.0,295.01,1.0,1.186222,1.186222,-198.901,phase8m_rejected_low_activity,low trade count; negative net PnL; negative stress PnL; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
