candidate_id,base_filter,exit_model,risk_model,fold,segment,segment_start,segment_end,trades,active_days,active_days_pct,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
base_pre_14_00__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap15_sal0_saw0_dlnone_dpnone,2,test,2026-04-22,2026-05-27,71,25,1.0,-1568.54,-1639.54,-1778.08,1.0,1.0
base_pre_14_00__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap15_sal0_saw0_dlnone_dpnone,3,test,2026-05-28,2026-07-02,69,25,1.0,1886.94,1817.94,-600.42,0.389668,0.282076
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,46,25,1.0,-674.04,-720.04,-988.86,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,49,25,1.0,-172.76,-221.76,-627.18,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,49,25,1.0,1838.24,1789.24,-483.74,0.277178,0.256909
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,55,25,1.0,-633.2,-688.2,-993.0,1.0,1.0
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,62,25,1.0,11.12,-50.88,-591.7,39.458633,31.678058
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,60,25,1.0,1708.1,1648.1,-483.74,0.319232,0.276483
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal0_saw0_dl2.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal0_saw0_dl2.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal0_saw0_dl2.0_dpnone,1,test,2026-03-17,2026-04-21,45,25,1.0,-337.8,-382.8,-740.1,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,test,2026-04-22,2026-05-27,44,25,1.0,167.44,123.44,-434.9,1.511108,1.082537
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal0_saw0_dl2.0_dpnone,3,test,2026-05-28,2026-07-02,42,25,1.0,1394.42,1352.42,-542.62,0.296195,0.338678
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw1_dlnone_dp1.0,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap30_sal0_saw1_dlnone_dp1.0,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw1_dlnone_dp1.5,1,test,2026-03-17,2026-04-21,37,25,1.0,-528.88,-565.88,-771.6,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,test,2026-04-22,2026-05-27,35,25,1.0,138.6,103.6,-391.38,1.973449,2.541558
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,horizon_close_15m,mt2_gap30_sal0_saw1_dlnone_dp1.5,3,test,2026-05-28,2026-07-02,34,25,1.0,2837.34,2803.34,-378.46,0.145566,0.166445
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
