signal_key,phase,candidate_id,scheduler_b_net_contribution,accepted_trade_count,all_trade_count,skipped_overlap_count,skipped_session_count,scheduler_b_accepted_trade_count,scheduler_b_skipped_trade_count,scheduler_b_skip_rate,accepted_net_pnl,contribution_in_weak_folds,contribution_in_strong_folds,contribution_on_high_vol_mixed_weak_regime_days,average_daily_correlation_to_other_modules,max_daily_correlation_to_other_modules,overlap_rate_with_other_modules,consistently_skipped,harmful_when_accepted,redundant_with_another_module,paired_duplicate_variant,seed_suspect
phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,-9589.68,0,127,0,127,307,1725,0.848917,0.0,0.0,0.0,3121.02,0.10232,0.666229,1.0,True,False,False,False,False
phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2821.19,0,123,0,123,393,1575,0.800305,0.0,0.0,0.0,1762.0,0.107857,0.999252,1.0,True,False,True,False,False
phase15a::MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,-2367.2,0,50,0,50,80,720,0.9,0.0,0.0,0.0,1259.11,0.071031,1.0,1.0,True,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,-3657.38,0,87,0,87,391,1001,0.719109,0.0,0.0,0.0,35145.21,0.390829,1.0,1.0,False,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,-8667.84,0,66,0,66,216,840,0.795455,0.0,0.0,0.0,35145.21,0.394943,1.0,1.0,False,False,True,False,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,-8667.84,0,66,0,66,216,840,0.795455,0.0,0.0,0.0,35145.21,0.394943,1.0,1.0,False,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,-907.84,0,62,0,62,245,747,0.753024,0.0,0.0,0.0,35145.21,0.355907,1.0,1.0,False,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,-3136.4,0,57,0,57,211,701,0.76864,0.0,0.0,0.0,35145.21,0.394166,1.0,1.0,False,False,True,True,False
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,13816.36,32,84,0,52,849,495,0.368304,750.82,-450.76,1201.58,35145.21,0.184966,1.0,0.619048,False,False,True,False,False
phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,26202.36,132,183,0,51,2172,756,0.258197,2073.6,-626.24,2699.84,3121.02,0.134393,0.666229,0.278689,False,False,False,False,False
phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,10214.24,9,61,0,52,324,652,0.668033,759.34,142.26,617.08,3121.02,0.06318,0.210836,0.852459,False,False,False,False,False
phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,5159.31,42,123,0,81,642,1326,0.67378,55.6,-40.47,96.07,1762.0,0.10785,0.999252,0.658537,False,False,True,True,False
phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2385.48,3,73,0,70,422,746,0.638699,45.06,-91.24,136.3,797.97,0.084487,0.260435,0.958904,False,False,False,False,False
phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,11472.46,4,68,0,64,401,687,0.631434,251.04,-13.22,264.26,797.97,0.063016,0.232444,0.941176,False,False,False,False,False
phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,1200.0,0,50,0,50,400,400,0.5,0.0,0.0,0.0,1259.11,0.071031,1.0,1.0,False,False,True,False,False
phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,8290.96,1,54,0,53,440,424,0.490741,77.26,0.0,77.26,1259.11,0.154204,0.451325,0.981481,False,False,False,False,False
