phase5l_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,regime_filter,phase5l_score,phase5l_label,phase5l_notes
1,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,121.36,151.12,40.12,37,19,0.95,0.540541,4.084324,151.12,-136.44,0.36739,0.183695,1,1.0,48.9692,robust_research_candidate,test concentration risk,all,40.6767,watchlist_concentrated,day concentration remains
2,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; too few test trades,prior_range_bucket=high,0.0,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress
3,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,24.62,78.52,-2.48,27,14,0.7,0.518519,2.908148,78.52,-114.7,0.707081,0.35354,1,1.0,29.639,rejected,fails aggregate 4-tick slippage stress; test concentration risk,gap_abs_bucket=low,-40.7504,rejected,fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
4,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,116.06,58.04,46.04,4,2,0.1,0.75,14.51,58.04,-23.24,0.922123,0.478291,1,1.0,6.8872,rejected,low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid,-114.7792,watchlist_concentrated,day concentration remains; trade concentration remains
5,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,57.02,53.52,47.52,2,1,0.05,1.0,26.76,53.52,0.0,1.0,0.509342,1,1.0,2.9797,rejected,low test active-session coverage; test concentration risk; too few test trades,gap_abs_bucket=low;or_width_bucket=mid,-135.2913,watchlist_concentrated,day concentration remains; trade concentration remains
6,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,81.14,26.64,-15.36,14,7,0.35,0.5,1.902857,26.64,-137.94,1.99024,1.042042,1,1.0,-28.7379,rejected,fails aggregate 4-tick slippage stress; test concentration risk,prior_range_bucket=mid,-405.5351,rejected,fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
