candidate_id,fold,net_pnl,stress_pnl,trades
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,5,78.54,74.54,4
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,6,816.54,812.54,4
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,1,589.52,587.52,2
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,2,245.82,238.82,7
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,3,378.08,370.08,8
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,4,-255.18,-262.18,7
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,5,78.54,74.54,4
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,6,816.54,812.54,4
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,1,392.26,391.26,1
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,2,208.56,202.56,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,3,-40.68,-47.68,7
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,4,-223.94,-229.94,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,5,173.78,170.78,3
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,6,796.52,794.52,2
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,1,392.26,391.26,1
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,2,208.56,202.56,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,3,-40.68,-47.68,7
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,4,-223.94,-229.94,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,5,173.78,170.78,3
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,6,796.52,794.52,2
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,1,392.26,391.26,1
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,2,208.56,202.56,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,3,-40.68,-47.68,7
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,4,-223.94,-229.94,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,5,173.78,170.78,3
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,6,796.52,794.52,2
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt2,1,392.26,391.26,1
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt2,2,208.56,202.56,6
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt2,3,-40.68,-47.68,7
