audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,phase11a opening range fade,phase11a,-454.9
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,phase12a opening-drive pullback,phase12a,26.53
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,phase13a prior RTH high/low breakout,phase13a,-1438.72
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-393.75
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,phase15a trend/power continuation,phase15a,479.5
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase10b overnight/prior-level branch,phase10b,13729.28
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase11a opening range fade,phase11a,-1133.16
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase12a opening-drive pullback,phase12a,28.57
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase13a prior RTH high/low breakout,phase13a,-1900.72
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-578.56
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,phase15a trend/power continuation,phase15a,424.32
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase10b overnight/prior-level branch,phase10b,10138.06
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase11a opening range fade,phase11a,-686.44
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase12a opening-drive pullback,phase12a,4.79
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase13a prior RTH high/low breakout,phase13a,-1364.72
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-427.25
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,phase15a trend/power continuation,phase15a,530.98
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase10b overnight/prior-level branch,phase10b,9697.74
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase11a opening range fade,phase11a,-524.47
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase12a opening-drive pullback,phase12a,-113.65
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase13a prior RTH high/low breakout,phase13a,-1791.98
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-920.38
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,phase15a trend/power continuation,phase15a,865.78
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase10b overnight/prior-level branch,phase10b,14461.92
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase11a opening range fade,phase11a,-790.96
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase12a opening-drive pullback,phase12a,-6.99
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase13a prior RTH high/low breakout,phase13a,-1404.24
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-393.75
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,phase15a trend/power continuation,phase15a,524.98
