phase10b_rank,candidate_id,instrument,axis,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,range_filter,gap_filter,touch_filter,max_trades_per_day,atr_cap_multiple,buffer_ticks,target_r,min_minutes_between_entries,time_stop_minutes,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase10b_label,research_axis_status,phase10b_score,reject_reasons
11,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,1,1.25,1,1.5,60,45,54,54,1.0,1900.38,1752.42,1752.41,1752.41,1698.41,122.9,835.1,-406.27,0.264071,0.264071,168.09,101.14,1853.32,1821.32,0.833333,-262.18,phase10b_rejected_low_activity,axis_positive_but_concentrated,3113.46,low activity; fold instability; concentration
12,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,2,1.25,1,1.5,60,45,54,54,1.0,1900.38,1752.42,1752.41,1752.41,1698.41,122.9,835.1,-406.27,0.264071,0.264071,168.09,101.14,1853.32,1821.32,0.833333,-262.18,phase10b_rejected_low_activity,axis_positive_but_concentrated,3113.46,low activity; fold instability; concentration
13,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,first_touch_only,1,1.25,1,1.5,60,45,62,62,1.0,1969.38,1799.5,1799.48,1799.48,1737.48,340.14,692.56,-560.98,0.257163,0.257163,150.13,90.56,1824.54,1795.54,0.833333,-43.94,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2972.04,fold instability; concentration
14,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,first_touch_only,2,1.25,1,1.5,60,45,62,62,1.0,1969.38,1799.5,1799.48,1799.48,1737.48,340.14,692.56,-560.98,0.257163,0.257163,150.13,90.56,1824.54,1795.54,0.833333,-43.94,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2972.04,fold instability; concentration
15,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,1,1.25,1,1.5,60,45,70,70,1.0,1800.38,1608.58,1608.56,1608.56,1538.56,122.9,835.1,-582.44,0.287686,0.287686,151.06,95.09,1721.84,1687.84,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2643.96,fold instability; concentration
16,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,2,1.25,1,1.5,60,45,70,70,1.0,1800.38,1608.58,1608.56,1608.56,1538.56,122.9,835.1,-582.44,0.287686,0.287686,151.06,95.09,1721.84,1687.84,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2643.96,fold instability; concentration
17,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45,35,35,1.0,1280.88,1184.98,1184.97,1184.97,1149.97,-47.38,672.54,-301.35,0.390525,0.390525,156.9,97.8,1313.96,1292.96,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,2141.58,low activity; negative validation; fold instability; concentration
18,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45,35,35,1.0,1280.88,1184.98,1184.97,1184.97,1149.97,-47.38,672.54,-301.35,0.390525,0.390525,156.9,97.8,1313.96,1292.96,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,2141.58,low activity; negative validation; fold instability; concentration
19,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45,35,35,1.0,1280.88,1184.98,1184.97,1184.97,1149.97,-47.38,672.54,-301.35,0.390525,0.390525,156.9,97.8,1313.96,1292.96,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,2141.58,low activity; negative validation; fold instability; concentration
20,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45,35,35,1.0,1280.88,1184.98,1184.97,1184.97,1149.97,-47.38,672.54,-301.35,0.390525,0.390525,156.9,97.8,1313.96,1292.96,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,2141.58,low activity; negative validation; fold instability; concentration
21,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,1,1.25,1,1.5,30,30,56,56,1.0,1796.94,1643.5,1643.5,1643.5,1587.5,644.66,2011.98,-1535.4,0.353368,0.353368,177.48,116.66,2022.5,1982.5,0.666667,-318.42,phase10b_rejected_low_activity,axis_positive_but_concentrated,2034.6,low activity; fold instability; concentration
22,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,2,1.25,1,1.5,30,30,56,56,1.0,1796.94,1643.5,1643.5,1643.5,1587.5,644.66,2011.98,-1535.4,0.353368,0.353368,177.48,116.66,2022.5,1982.5,0.666667,-318.42,phase10b_rejected_low_activity,axis_positive_but_concentrated,2034.6,low activity; fold instability; concentration
23,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45,42,42,1.0,1204.38,1089.3,1089.29,1089.29,1047.29,-264.62,910.32,-371.44,0.424827,0.424827,159.24,102.33,1306.5,1281.5,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1957.35,low activity; negative validation; fold instability; concentration
24,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45,42,42,1.0,1204.38,1089.3,1089.29,1089.29,1047.29,-264.62,910.32,-371.44,0.424827,0.424827,159.24,102.33,1306.5,1281.5,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1957.35,low activity; negative validation; fold instability; concentration
25,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45,42,42,1.0,1204.38,1089.3,1089.29,1089.29,1047.29,-264.62,910.32,-371.44,0.424827,0.424827,159.24,102.33,1306.5,1281.5,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1957.35,low activity; negative validation; fold instability; concentration
26,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45,42,42,1.0,1204.38,1089.3,1089.29,1089.29,1047.29,-264.62,910.32,-371.44,0.424827,0.424827,159.24,102.33,1306.5,1281.5,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1957.35,low activity; negative validation; fold instability; concentration
27,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45,41,41,1.0,1093.88,981.54,981.52,981.52,940.52,-47.38,672.54,-596.56,0.471473,0.471473,146.68,96.13,1251.72,1229.72,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,1573.68,low activity; negative validation; fold instability; concentration
28,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45,41,41,1.0,1093.88,981.54,981.52,981.52,940.52,-47.38,672.54,-596.56,0.471473,0.471473,146.68,96.13,1251.72,1229.72,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,1573.68,low activity; negative validation; fold instability; concentration
29,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45,42,42,1.0,1081.88,966.8,966.78,966.78,924.78,-47.38,672.54,-611.3,0.478661,0.478661,144.01,94.44,1251.72,1229.72,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,1543.2,low activity; negative validation; fold instability; concentration
30,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45,42,42,1.0,1081.88,966.8,966.78,966.78,924.78,-47.38,672.54,-611.3,0.478661,0.478661,144.01,94.44,1251.72,1229.72,0.666667,-47.68,phase10b_rejected_low_activity,axis_positive_but_concentrated,1543.2,low activity; negative validation; fold instability; concentration
31,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,1,1.25,1,1.5,60,45,49,49,1.0,1130.63,996.37,996.36,996.36,947.36,534.01,749.88,-898.41,0.559296,0.559296,177.91,159.69,1512.23,1476.23,0.666667,-198.33,phase10b_rejected_low_activity,axis_positive_but_concentrated,1525.18,low activity; fold instability; concentration
32,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,2,1.25,1,1.5,60,45,49,49,1.0,1130.63,996.37,996.36,996.36,947.36,534.01,749.88,-898.41,0.559296,0.559296,177.91,159.69,1512.23,1476.23,0.666667,-198.33,phase10b_rejected_low_activity,axis_positive_but_concentrated,1525.18,low activity; fold instability; concentration
33,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45,48,48,1.0,1017.38,885.86,885.84,885.84,837.84,-264.62,910.32,-608.8,0.522397,0.522397,150.22,100.34,1244.26,1218.26,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1447.3,low activity; negative validation; fold instability; concentration
34,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45,48,48,1.0,1017.38,885.86,885.84,885.84,837.84,-264.62,910.32,-608.8,0.522397,0.522397,150.22,100.34,1244.26,1218.26,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1447.3,low activity; negative validation; fold instability; concentration
