phase8a_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase8a_score,phase8a_label,phase8a_notes
1,MGC_opening_range_breakout_tf1_bf64976fac,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":1.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MGC"",""notes"":""Phase 8A MGC clean-family pivot: opening-range breakout away from failed legacy combo legs."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MGC,opening_range_breakout,1,rejected,-87.3636,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-4727.739999999836,246.9399999999962,-3368.7799999998047,-9929.739999999836,867,867,0.9885974914481186,0.4936562860438293,-5.452987312571898,0.8388558682799289,-5321.4799999998,-418.22,9,1.0,1.0,0,3.22,5.22,-570.4594,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 8A cap; negative holdout split
2,MGC_vwap_reclaim_rejection_tf1_1158b61782,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":12,""target_ticks"":18}},""family"":""vwap_reclaim_rejection"",""instrument"":""MGC"",""notes"":""Phase 8A MGC clean-family pivot: VWAP reclaim/rejection without Phase 7 pullback leg."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MGC,vwap_reclaim_rejection,1,rejected,-100.5451,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-5889.839999998172,-1213.4799999993877,-2203.6799999994937,-15921.83999999817,1672,856,0.976054732041049,0.3857655502392344,-3.522631578946275,0.6155692796918079,-5939.899999998107,-39.44000000000409,16,1.0,1.0,110,3.22,5.22,-635.9348,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 8A cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
