priority_policy,portfolio_mode,diagnostic_filter,fold,net_pnl,stress_pnl,active_days
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,5,1281.67,1240.67,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,6,2325.24,2282.24,43
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,1,-2481.85,-2522.85,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,2,-2661.96,-2702.96,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,3,246.46,205.46,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,4,-1887.42,-1928.42,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,6,4406.61,4363.61,43
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,2,886.16,845.16,41
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,3,-72.37,-113.37,41
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,4,-1008.88,-1049.88,41
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,6,2635.14,2592.14,43
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,1,-2459.85,-2500.85,41
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,2,-2696.46,-2737.46,41
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,3,385.46,344.46,41
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,4,-2115.42,-2156.42,41
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,6,4384.85,4341.85,43
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
diversifier_first,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
diversifier_first,max_one_trade_per_session,no_filter_baseline,2,872.66,831.66,41
diversifier_first,max_one_trade_per_session,no_filter_baseline,3,-246.37,-287.37,41
diversifier_first,max_one_trade_per_session,no_filter_baseline,4,-1042.38,-1083.38,41
diversifier_first,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
diversifier_first,max_one_trade_per_session,no_filter_baseline,6,2298.14,2255.14,43
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,1,-2459.85,-2500.85,41
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,2,-2733.24,-2774.24,41
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,3,417.2,376.2,41
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,4,-2115.42,-2156.42,41
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,6,4349.11,4306.11,43
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,2,872.66,831.66,41
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,3,-72.37,-113.37,41
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,4,-1042.38,-1083.38,41
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,6,2298.14,2255.14,43
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,1,-2481.85,-2522.85,41
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,2,-2661.96,-2702.96,41
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,3,246.46,205.46,41
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,4,-1887.42,-1928.42,41
