group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
two_bar_inside_fill_next_open,2516,-7018.48,-13912.390000000001,-16428.39,79.14447535771065,73.13553259141494
close_back_inside_fill_next_open,3330,-13242.220000000001,-22366.44,-25696.44,81.5457957957958,71.68978978978978
