mode,description,session_count,net_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,trades_per_session,active_session_pct,win_rate,avg_trade,median_trade,profit_factor,max_drawdown,worst_day,worst_rolling_5_day,longest_losing_streak,long_net_pnl,short_net_pnl,best_day_concentration,best_trade_concentration,max_simultaneous_exposure,phase3b_label
A_baseline,Original Phase 3 baseline,63,6696.485000000017,2378.169999999997,6378.485000000017,106,1.6825396825396826,0.8888888888888888,0.42452830188679247,63.17438679245299,-80.0525,1.735900519961343,-2237.5499999999815,-580.8799999999942,-1463.8199999999943,17,5258.105000000003,1438.380000000014,0.218326480235526,0.10979790143635028,2,watchlist
B_one_open_position,"One open position only, max 2 completed trades/day",63,2573.5850000000137,911.3449999999984,2390.585000000013,61,0.9682539682539683,0.8888888888888888,0.39344262295081966,42.18991803278711,-92.58999999999854,1.4437096939650784,-1618.9849999999872,-440.48,-1127.2399999999957,9,2653.005000000002,-79.4199999999887,0.2856948575625037,0.2856948575625037,1,paper_trade_candidate
C_max_1_trade_per_day,Max 1 completed trade/day,63,3424.1850000000068,1147.3349999999984,3256.1850000000068,56,0.8888888888888888,0.8888888888888888,0.42857142857142855,61.146160714285834,-84.02749999999854,1.6918167390805863,-1384.3299999999915,-339.99,-979.9249999999986,9,2653.005000000002,771.1800000000055,0.2147255478310893,0.2147255478310893,1,paper_trade_candidate
D_stop_after_first_loser,"One open position only, stop for day after first loser",63,3246.8450000000084,1147.3349999999984,3075.8450000000084,57,0.9047619047619048,0.8888888888888888,0.42105263157894735,56.96219298245629,-87.83999999999854,1.633296566440314,-1384.3299999999915,-339.99,-979.9249999999986,9,2653.005000000002,593.840000000007,0.22645368041899078,0.22645368041899078,1,paper_trade_candidate
E_first_failure_per_side,"One open position only, first failure per breakout side",63,3246.8450000000084,1147.3349999999984,3075.8450000000084,57,0.9047619047619048,0.8888888888888888,0.42105263157894735,56.96219298245629,-87.83999999999854,1.633296566440314,-1384.3299999999915,-339.99,-979.9249999999986,9,2653.005000000002,593.840000000007,0.22645368041899078,0.22645368041899078,1,paper_trade_candidate
F_cooldown_10_min,"One open position only, 10-minute cooldown after exit",63,2750.925000000012,911.3449999999984,2570.925000000012,60,0.9523809523809523,0.8888888888888888,0.4,45.8487500000002,-90.21499999999854,1.4892433772051932,-1618.9849999999872,-440.48,-1127.2399999999957,9,2653.005000000002,97.92000000000985,0.2672773703390666,0.2672773703390666,1,paper_trade_candidate
