candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
MNQ_vwap_reclaim_rejection_tf1_47d2f9e798,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":90}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-39.4905,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-370.5400000000005,-330.74,-349.26,-733.5400000000004,121,61,0.9682539682539683,0.39669421487603307,-3.0623140495867807,0.8456739219165187,-849.3800000000006,-70.98,14,1.0,1.0,9,2.74,3.74
MNQ_vwap_reclaim_rejection_tf1_a52d373916,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-43.128,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-659.5400000000005,-345.74,-309.26,-1022.5400000000006,121,61,0.9682539682539683,0.34710743801652894,-5.450743801652897,0.6362081899214541,-866.4200000000005,-50.980000000000004,15,1.0,1.0,23,2.74,3.74
MNQ_vwap_reclaim_rejection_tf1_32b25dc034,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""rejection""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":90}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-44.9296,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-532.6000000000005,-294.5,-484.76,-877.6000000000004,115,60,0.9523809523809523,0.3739130434782609,-4.631304347826091,0.7737256667997857,-897.3800000000005,-67.98,9,1.0,1.0,8,2.74,3.74
MNQ_prior_session_levels_tf1_f5e7615a7b,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""prior_close_reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,prior_session_levels,1,rejected,-45.8726,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-537.3600000000001,-115.86000000000004,-212.86000000000007,-729.3600000000001,64,33,0.5238095238095238,0.28125,-8.396250000000002,0.4783115218826452,-610.4400000000003,-45.980000000000004,8,1.0,1.0,15,2.74,3.74
MNQ_vwap_reclaim_rejection_tf1_43050300fc,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""rejection""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-48.8078,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-879.3400000000004,-419.5,-344.76,-1227.3400000000004,116,60,0.9523809523809523,0.3017241379310345,-7.580517241379313,0.5222120797200668,-1036.4400000000005,-47.980000000000004,14,1.0,1.0,20,2.74,3.74
MNQ_opening_range_failure_tf1_08575a7c44,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,-51.4188,one-day concentration risk; one-trade concentration risk,273.9899999999966,207.7449999999999,435.799999999997,111.9899999999966,54,44,0.6984126984126984,0.5,5.073888888888826,1.059462474336882,-1224.8600000000001,-375.53000000000293,7,1.6424322055549676,1.6424322055549676,0,2.74,3.74
MNQ_opening_range_breakout_tf1_9384ff9080,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":30}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-61.3456,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-544.6600000000004,-892.6300000000001,-676.6300000000001,-721.6600000000005,59,59,0.9365079365079365,0.4915254237288136,-9.23152542372882,0.9101695474336987,-2369.0200000000004,-421.49,6,1.0,1.0,0,2.74,3.74
MNQ_opening_range_breakout_tf1_67ab7ac245,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-76.6201,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-2675.369999999999,-1267.1200000000001,-86.87000000000012,-2864.369999999999,63,63,1.0,0.36507936507936506,-42.46619047619046,0.6093266745520657,-3981.2599999999984,-337.49,7,1.0,1.0,0,2.74,3.74
MNQ_opening_range_breakout_tf1_5565c0efb5,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":30}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-87.3713,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-2145.6600000000008,-866.8800000000001,-1597.13,-2322.6600000000008,59,59,0.9365079365079365,0.3389830508474576,-36.36711864406781,0.7265929820358673,-3081.2200000000003,-421.49,8,1.0,1.0,0,2.74,3.74
MNQ_opening_range_breakout_tf3_79518267db,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,rejected,-95.7294,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-3392.379999999999,-1813.1200000000001,-869.1200000000001,-3578.379999999999,62,62,0.9841269841269841,0.4032258064516129,-54.71580645161289,0.5451128575700324,-4259.769999999998,-342.24,5,1.0,1.0,0,2.74,3.74
MNQ_opening_range_breakout_tf1_545bffa6a6,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-96.3574,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-4114.369999999999,-622.8700000000001,-892.1200000000001,-4303.369999999999,63,63,1.0,0.23809523809523808,-65.3074603174603,0.4918504539464503,-4817.009999999995,-337.49,11,1.0,1.0,0,2.74,3.74
MNQ_prior_session_levels_tf1_11d4c92cab,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""sweep_reverse""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,prior_session_levels,1,interesting_but_needs_validation,-232.6262,fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,163.51999999999956,247.39999999999992,1216.3999999999999,-67.48000000000044,77,41,0.6507936507936508,0.2077922077922078,2.1236363636363578,1.065091913667232,-1364.2000000000003,-196.48000000000002,17,4.7808219178082325,4.7808219178082325,4,2.74,3.74
