phase5h_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,regime_filter,phase5h_score,phase5h_label,phase5h_notes
1,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-529.84,5644.295,5473.295,57,38,0.422222,0.596491,99.022719,580.995,-505.73,0.461434,0.327213,3,1.0,98.0942,robust_research_candidate,test concentration risk,prior_range_bucket=high,85.5846,watchlist_concentrated,day concentration remains; trade concentration remains
2,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-1622.75,5700.945,5364.945,112,76,0.844444,0.464286,50.901295,979.965,-750.5,0.561487,0.409345,3,1.0,103.4772,robust_research_candidate,test concentration risk,all,67.0002,watchlist_concentrated,day concentration remains; trade concentration remains
3,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,191.575,-305.515,-383.515,26,17,0.188889,0.461538,-11.750577,-1203.15,-972.335,1.0,1.0,2,0.666667,-28.0305,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; large negative test fold; too few test trades,gap_abs_bucket=low,-159.0014,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
4,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-260.735,278.04,191.04,29,22,0.366667,0.37931,9.587586,-33.31,-488.315,1.299245,1.0,1,0.333333,-26.1971,rejected,insufficient positive test folds; test concentration risk; too few test trades,or_width_bucket=mid,-191.5519,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
5,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-904.85,-215.145,-314.145,33,22,0.244444,0.272727,-6.519545,-370.255,-450.695,60.904085,104.17762,2,0.666667,-4097.0991,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk,prior_range_bucket=mid,-19726.6531,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
