group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
prior_rth_midpoint,1838,-1224.0600000000004,-6260.180000000003,-8098.180000000003,99.57127312295974,87.63819368879217
prior_rth_close,2110,-17034.02,-22815.44,-24925.440000000002,86.90118483412323,82.55023696682464
