pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,6,2635.14,2592.14,43
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-2511.59,-2552.59,41
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-2555.48,-2596.48,41
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,214.72,173.72,41
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,4427.09,4384.09,43
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,2,886.16,845.16,41
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,3,-246.37,-287.37,41
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,4,-1008.88,-1049.88,41
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,6,2635.14,2592.14,43
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2511.59,-2552.59,41
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,2,-2661.96,-2702.96,41
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,3,246.46,205.46,41
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,6,4391.35,4348.35,43
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,6,2635.14,2592.14,43
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,1,-2511.59,-2552.59,41
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,2,-2661.96,-2702.96,41
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,3,246.46,205.46,41
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,6,4391.35,4348.35,43
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,6,2635.14,2592.14,43
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-1646.04,-1687.04,41
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-2986.88,-3027.88,41
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,519.5,478.5,41
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-1239.34,-1280.34,41
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-1416.18,-1457.18,41
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,2491.19,2448.19,43
