pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,6,4681.07,4638.07,43
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,1,-2449.63,-2490.63,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,2,-2464.76,-2505.76,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,3,324.18,283.18,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,6,4681.07,4638.07,43
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-2479.37,-2520.37,41
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-2358.28,-2399.28,41
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,292.44,251.44,41
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,4701.55,4658.55,43
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,2,886.16,845.16,41
