candidate_id,signal_time,confirmation_time,entry_time,trading_session,module_family,side,regime_variant,confirmation_model,exit_variant,signal_open,signal_high,signal_low,signal_close,pullback_low,pullback_high,atr,morning_high,morning_low,morning_midpoint,morning_range,morning_close_position,direction_flip_flag,lunch_high,lunch_low,lunch_midpoint,prior_morning_range_sessions_used,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,regime_build_start,regime_build_end,lunch_build_start,lunch_build_end,trade_start,trade_end,entry_rule,target_type,paper_trading_approved,split
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-21 12:55:00-04:00,2025-08-21 12:55:00-04:00,2025-08-21 13:00:00-04:00,2025-08-21,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,23204.75,23210.75,23150.25,23161.25,23150.25,23210.75,30.303571428571427,23348.25,23155.25,23251.75,193.0,0.523316,True,23295.75,23150.25,23223.0,28,2,23161.25,2025-08-21 13:15:00-04:00,23150.0,stop,23150.0,23123.3705,23150.0,23251.75,-22.5,-25.24,-26.24,68.5,58.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-10-07 12:30:00-04:00,2025-10-07 12:30:00-04:00,2025-10-07 12:35:00-04:00,2025-10-07,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,25037.0,25077.5,25035.5,25074.0,25035.5,25077.5,42.267857142857146,25265.5,25053.75,25159.625,211.75,0.100354,True,25092.0,24985.25,25038.625,61,2,25074.0,2025-10-07 12:45:00-04:00,25035.25,stop,25035.25,25021.1652,25035.25,25159.625,-77.5,-80.24,-81.24,36.0,83.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-10-10 12:10:00-04:00,2025-10-10 12:10:00-04:00,2025-10-10 12:15:00-04:00,2025-10-10,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,24795.5,24821.75,24753.5,24816.25,24753.5,24821.75,108.23214285714286,25388.0,24802.75,25095.375,585.25,0.030756,True,24908.75,24647.75,24778.25,64,1,24816.75,2025-10-10 12:15:00-04:00,24753.25,stop,24753.25,24681.4598,24753.25,25095.375,-127.0,-129.74,-130.74,30.0,145.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-10-15 12:50:00-04:00,2025-10-15 12:50:00-04:00,2025-10-15 12:55:00-04:00,2025-10-15,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,24924.5,24927.0,24895.0,24906.0,24895.0,24927.0,40.19642857142857,25117.75,24897.0,25007.375,220.75,0.706682,False,25059.25,24876.5,24967.875,67,5,24906.5,2025-10-15 12:55:00-04:00,24894.75,stop,24894.75,24856.2545,24894.75,25007.375,-23.5,-26.24,-27.24,31.0,28.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-04 12:20:00-05:00,2025-11-04 12:20:00-05:00,2025-11-04 12:25:00-05:00,2025-11-04,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,25655.0,25707.0,25642.25,25704.0,25642.25,25707.0,38.142857142857146,25893.75,25663.0,25778.375,230.75,0.469122,True,25796.25,25642.25,25719.25,81,6,25704.25,2025-11-04 12:55:00-05:00,25679.25,time_stop,25642.0,25656.5714,25656.5714,25778.375,-50.0,-52.74,-53.74,58.5,84.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-19 12:40:00-05:00,2025-11-19 12:40:00-05:00,2025-11-19 12:45:00-05:00,2025-11-19,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,24522.0,24643.5,24508.0,24614.75,24508.0,24643.5,63.30357142857143,24988.0,24572.75,24780.375,415.25,0.323901,True,24724.5,24508.0,24616.25,92,2,24614.75,2025-11-19 13:15:00-05:00,24630.0,time_stop,24507.75,24535.6205,24535.6205,24780.375,30.5,27.76,26.76,146.0,97.0,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-02 13:50:00-05:00,2026-01-02 13:50:00-05:00,2026-01-02 13:55:00-05:00,2026-01-02,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,25286.25,25296.75,25265.25,25294.25,25265.25,25296.75,34.875,25803.5,25294.0,25548.75,509.5,0.162905,True,25427.25,25303.75,25365.5,122,2,25294.0,2026-01-02 14:25:00-05:00,25411.25,time_stop,25265.0,25250.4062,25265.0,25548.75,234.5,231.76,230.76,252.0,44.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-14 12:05:00-05:00,2026-01-14 12:05:00-05:00,2026-01-14 12:10:00-05:00,2026-01-14,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,25457.5,25504.0,25452.75,25501.0,25452.75,25504.0,39.232142857142854,25791.25,25469.5,25630.375,321.75,0.337995,False,25592.0,25433.25,25512.625,130,10,25500.5,2026-01-14 12:15:00-05:00,25452.5,stop,25452.5,25451.4598,25452.5,25630.375,-96.0,-98.74,-99.74,10.5,134.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-02-04 12:00:00-05:00,2026-02-04 12:00:00-05:00,2026-02-04 12:05:00-05:00,2026-02-04,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,25035.75,25057.5,25013.0,25044.75,25013.0,25057.5,64.69642857142857,25386.5,25041.75,25214.125,344.75,0.258158,False,25137.0,24784.0,24960.5,145,4,25045.0,2026-02-04 12:05:00-05:00,25012.75,stop,25012.75,24964.1295,25012.75,25214.125,-64.5,-67.24,-68.24,18.5,75.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-05 15:15:00-05:00,2026-03-05 15:15:00-05:00,2026-03-05 15:20:00-05:00,2026-03-05,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,24919.5,24946.5,24902.75,24931.5,24902.75,24946.5,45.160714285714285,25208.25,24930.5,25069.375,277.75,0.136814,True,25123.0,24785.25,24954.125,166,1,24931.0,2026-03-05 15:45:00-05:00,24989.0,session_flatten,24902.5,24874.5491,24902.5,25069.375,116.0,113.26,112.26,137.0,18.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
