candidate_id,signal_time,confirmation_time,entry_time,trading_session,side,branch,signal_close,overnight_high,overnight_low,overnight_midpoint,overnight_range_points,overnight_range_percentile,gap_from_prior_rth_close,atr,sweep_extreme,first_touch,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,mfe_to_mae_ratio,same_bar_ambiguity,distance_from_midpoint_at_entry,instrument,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,atr_cap_multiple,buffer_ticks,target_r,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,range_bucket,gap_bucket,entry_time_bucket,split
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-07-14 10:10:00-04:00,2025-07-14 10:10:00-04:00,2025-07-14 10:15:00-04:00,2025-07-14,long,overnight_range_breakout,22945.0,22944.75,22802.25,22873.5,142.5,0.21031746031746032,,46.388888888888886,22910.0,1,22945.5,2025-07-14 10:15:00-04:00,22944.5,stop_same_bar_conservative,22944.5,22887.5139,22944.5,22947.0,-2.0,-4.74,-5.74,42.5,5.0,8.5,1,144.0,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,flat,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-07-17 10:00:00-04:00,2025-07-17 10:00:00-04:00,2025-07-17 10:05:00-04:00,2025-07-17,long,overnight_range_breakout,23172.25,23158.25,23017.0,23087.625,141.25,0.20634920634920634,25.75,32.464285714285715,23148.5,1,23172.5,2025-07-17 10:05:00-04:00,23158.0,stop,23158.0,23131.9196,23158.0,23194.25,-29.0,-31.74,-32.74,4.0,30.0,0.133333,0,169.75,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-07-21 09:35:00-04:00,2025-07-21 09:35:00-04:00,2025-07-21 09:40:00-04:00,2025-07-21,long,overnight_range_breakout,23328.25,23309.0,23204.5,23256.75,104.5,0.0873015873015873,29.5,33.25,23297.5,1,23328.0,2025-07-21 10:10:00-04:00,23399.25,time_stop,23308.75,23286.4375,23308.75,23356.875,142.5,139.76,138.76,148.0,7.5,19.733333,0,142.5,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-07-21 10:05:00-04:00,2025-07-21 10:05:00-04:00,2025-07-21 10:10:00-04:00,2025-07-21,long,overnight_range_breakout,23391.25,23309.0,23204.5,23256.75,104.5,0.0873015873015873,29.5,29.375,23388.5,1,23391.75,2025-07-21 10:40:00-04:00,23410.0,time_stop,23308.75,23355.0312,23355.0312,23446.8281,36.5,33.76,32.76,66.5,24.5,2.714286,0,270.0,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-07-29 09:35:00-04:00,2025-07-29 09:35:00-04:00,2025-07-29 09:40:00-04:00,2025-07-29,long,overnight_range_breakout,23645.75,23615.0,23503.0,23559.0,112.0,0.1111111111111111,103.75,27.0,23625.25,1,23645.75,2025-07-29 09:45:00-04:00,23614.75,stop,23614.75,23612.0,23614.75,23692.25,-62.0,-64.74,-65.74,7.5,140.5,0.053381,0,173.5,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-08-04 09:35:00-04:00,2025-08-04 09:35:00-04:00,2025-08-04 09:40:00-04:00,2025-08-04,long,overnight_range_breakout,23159.25,23097.25,22822.0,22959.625,275.25,0.5912698412698413,213.5,46.25,23127.25,1,23159.25,2025-08-04 10:10:00-04:00,23252.5,time_stop,23097.0,23101.4375,23101.4375,23245.9688,186.5,183.76,182.76,209.0,19.5,10.717949,0,399.25,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,middle,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-08-04 10:05:00-04:00,2025-08-04 10:05:00-04:00,2025-08-04 10:10:00-04:00,2025-08-04,long,overnight_range_breakout,23229.5,23097.25,22822.0,22959.625,275.25,0.5912698412698413,213.5,37.78125,23228.0,1,23229.25,2025-08-04 10:40:00-04:00,23220.75,time_stop,23097.0,23182.0234,23182.0234,23300.0898,-17.0,-19.74,-20.74,65.0,31.5,2.063492,0,539.25,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,middle,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-08-06 09:50:00-04:00,2025-08-06 09:50:00-04:00,2025-08-06 09:55:00-04:00,2025-08-06,long,overnight_range_breakout,23229.25,23227.25,23045.25,23136.25,182.0,0.373015873015873,35.0,65.95,23173.5,1,23229.5,2025-08-06 09:55:00-04:00,23227.0,stop_same_bar_conservative,23227.0,23147.0625,23227.0,23233.25,-5.0,-7.74,-8.74,31.0,66.0,0.469697,1,186.5,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,middle,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-08-07 09:55:00-04:00,2025-08-07 09:55:00-04:00,2025-08-07 10:00:00-04:00,2025-08-07,long,overnight_range_breakout,23654.5,23638.0,23385.25,23511.625,252.75,0.5595238095238095,176.25,44.541666666666664,23605.75,1,23654.25,2025-08-07 10:00:00-04:00,23637.75,stop,23637.75,23598.5729,23637.75,23679.0,-33.0,-35.74,-36.74,34.0,51.0,0.666667,0,285.25,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,middle,gap_up,opening_response,discovery
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2025-08-08 09:40:00-04:00,2025-08-08 09:40:00-04:00,2025-08-08 09:45:00-04:00,2025-08-08,long,overnight_range_breakout,23603.75,23583.25,23503.25,23543.25,80.0,0.027777777777777776,39.75,42.166666666666664,23569.25,1,23604.0,2025-08-08 10:15:00-04:00,23656.25,time_stop,23583.0,23551.2917,23583.0,23635.5,104.5,101.76,100.76,149.5,0.0,0.0,0,121.5,MNQ,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,narrow,gap_up,opening_response,discovery
