candidate_id,instrument,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,session_count,net_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,trades_per_session,active_sessions,active_session_pct,win_rate,avg_trade,median_trade,profit_factor,max_drawdown,worst_day,worst_rolling_5_day,longest_losing_streak,long_net_pnl,short_net_pnl,best_day_concentration,best_trade_concentration,max_simultaneous_exposure,same_bar_stop_target_ambiguity_count,one_open_position_respected,beats_phase3b_benchmark_net,beats_phase3b_benchmark_slippage,label,ranking_score,risk_notes
MGC_overnight_levels_tf5_sweep_reverse_12x18,MGC,overnight_levels,tf5_sweep_reverse_12x18,5,1m,sweep_reverse,12 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=12;target_ticks=18;tick_size=0.1,63,-172.69999999990776,-74.19999999997088,-532.6999999999078,60,0.9523809523809523,36,0.5714285714285714,0.21666666666666667,-2.878333333331796,-41.71999999999909,0.9380412866747833,-1217.699999999955,-282.43999999999454,-558.1999999999764,10,-344.21999999995626,171.52000000004915,1.0,1.0,1,0,True,False,False,rejected,-28.8421,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_overnight_levels_tf5_midpoint_reclaim_40x60,MNQ,overnight_levels,tf5_midpoint_reclaim_40x60,5,1m,midpoint_reclaim,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=midpoint_reclaim;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-202.48000000000022,-111.32000000000005,-433.48000000000025,77,1.2222222222222223,45,0.7142857142857143,0.4025974025974026,-2.6296103896103924,-21.740000000000002,0.8068012671272087,-292.8000000000003,-48.480000000000004,-151.66000000000003,7,-5.580000000000084,-196.90000000000006,1.0,1.0,1,14,True,False,False,rejected,-28.8425,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or5_tf5_opposite_max2,MNQ,opening_range_failure,or5_tf5_opposite_max2,5,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=5;target=opposite,63,339.50999999999647,-406.23999999999,21.509999999996367,106,1.6825396825396826,57,0.9047619047619048,0.4339622641509434,3.2029245283018533,-44.289999999999274,1.0555213043442708,-870.1649999999972,-384.4299999999971,-463.6999999999957,7,781.8799999999867,-442.3699999999901,1.5817501693617435,1.2304792200524413,1,0,True,False,False,watchlist,-30.7395,negative holdout PnL; one-day concentration risk; one-trade concentration risk
MNQ_overnight_levels_tf1_break_hold_40x60,MNQ,overnight_levels,tf1_break_hold_40x60,1,1m,break_hold,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=break_hold;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-130.6800000000001,-34.44000000000001,-301.6800000000001,57,0.9047619047619048,31,0.49206349206349204,0.40350877192982454,-2.29263157894737,-21.740000000000002,0.8292121909143184,-273.5000000000001,-46.480000000000004,-154.66000000000003,5,-23.180000000000057,-107.50000000000003,1.0,1.0,1,5,True,False,False,rejected,-30.9487,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or35_tf2_mid_max2,MNQ,opening_range_failure,or35_tf2_mid_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=35;target=mid,63,232.12000000001245,1519.474999999997,1.1200000000123964,77,1.2222222222222223,53,0.8412698412698413,0.4805194805194805,3.0145454545456163,-46.56499999999709,1.0381980499444627,-1678.3499999999874,-397.03000000000293,-742.8400000000015,5,772.6050000000012,-540.4849999999888,1.7836463897982844,1.4938824745820325,1,0,True,False,False,watchlist,-32.093,one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or15_tf2_opposite_max2,MNQ,opening_range_failure,or15_tf2_opposite_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=15;target=opposite,63,387.04000000001656,813.5150000000042,90.04000000001656,99,1.5714285714285714,61,0.9682539682539683,0.36363636363636365,3.9094949494951168,-82.865,1.0437638938829623,-1171.1650000000031,-452.8049999999971,-620.66,5,646.3400000000156,-259.29999999999905,2.116112029764275,1.5056841670110972,1,0,True,False,False,watchlist,-33.1844,one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or60_tf5_opposite_stop_after_first_loser,MNQ,opening_range_failure,or60_tf5_opposite_stop_after_first_loser,5,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,True,True,stop_after_first_loser,new_candidate,min_range=10.0;or_minutes=60;target=opposite,63,414.79999999999814,127.78999999999701,279.79999999999814,45,0.7142857142857143,42,0.6666666666666666,0.37777777777777777,9.217777777777737,-111.49,1.0859222556870671,-1453.0549999999973,-322.01500000000146,-725.2250000000015,8,433.8100000000013,-19.010000000003174,1.7761812921890148,1.8436837029894007,1,0,True,False,False,watchlist,-33.2784,active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or10_tf3_mid_max2,MNQ,opening_range_failure,or10_tf3_mid_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=10;target=mid,63,-465.30999999998426,157.37500000000279,-777.3099999999844,104,1.6507936507936507,57,0.9047619047619048,0.5576923076923077,-4.474134615384464,16.009999999999998,0.9058294239790848,-911.2699999999843,-282.48,-517.2249999999972,4,1035.1899999999998,-1500.4999999999843,1.0,1.0,1,0,True,False,False,rejected,-33.8164,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MNQ_overnight_levels_tf15_midpoint_reclaim_40x60,MNQ,overnight_levels,tf15_midpoint_reclaim_40x60,15,1m,midpoint_reclaim,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=midpoint_reclaim;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-197.36000000000018,-194.10000000000008,-389.3600000000002,64,1.0158730158730158,41,0.6507936507936508,0.390625,-3.083750000000003,-21.740000000000002,0.7770850275594108,-271.84000000000003,-46.980000000000004,-202.66000000000003,9,-111.64000000000007,-85.72000000000004,1.0,1.0,1,11,True,False,False,rejected,-33.8382,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MGC_time_of_day_1000-1130_breakout,MGC,time_of_day,1000-1130_breakout,5,1m,10:00-11:30 breakout,window range,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=breakout;rr=1.5;tick_size=0.1;window=10:00-11:30,63,-208.4800000000587,-310.36000000000377,-562.4800000000588,59,0.9365079365079365,59,0.9365079365079365,0.3898305084745763,-3.5335593220348933,-76.22000000000182,0.9597833299896485,-1403.2600000000261,-310.2200000000073,-868.1000000000256,6,-1341.0000000000202,1132.5199999999618,1.0,1.0,1,0,True,False,False,rejected,-34.6561,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
