group,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
middle,2138,816.7199999999976,-1321.2800000000025,108.73175865294668,94.24555659494855
wide,1904,-5778.950000000004,-7682.950000000004,139.78702731092437,122.05488445378151
narrow,2360,-9588.869999999999,-11948.869999999999,71.20021186440678,62.003601694915254
