pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
remove_seed_suspect_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,4638.83,4595.83,43
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2427.63,-2468.63,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,2,-2608.02,-2649.02,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,3,324.18,283.18,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,6,4638.83,4595.83,43
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,1,-2427.63,-2468.63,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,2,-2608.02,-2649.02,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,3,324.18,283.18,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,4,-1807.2,-1848.2,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,5,-1296.56,-1337.56,41
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,6,4638.83,4595.83,43
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-2285.49,-2326.49,41
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-1455.0,-1496.0,41
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,795.04,754.04,41
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-1794.54,-1835.54,41
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,5697.39,5654.39,43
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,2,872.66,831.66,41
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,4,-1042.38,-1083.38,41
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-2285.49,-2326.49,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-1526.98,-1567.98,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,5712.65,5669.65,43
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2285.49,-2326.49,41
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,2,-1526.98,-1567.98,41
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,6,5712.65,5669.65,43
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,6,2298.14,2255.14,43
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,1,-2285.49,-2326.49,41
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,2,-1526.98,-1567.98,41
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,6,5712.65,5669.65,43
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,6,2298.14,2255.14,43
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-1873.71,-1914.71,41
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,450.38,409.38,41
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,1422.04,1381.04,41
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-310.93,-351.93,41
