phase5j_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,phase5j_score,phase5j_label,phase5j_notes
1,MNQ_vwap_reclaim_rejection_tf1_a52d373916,MNQ,vwap_reclaim_rejection,1,1,121.36,151.12,40.12,37,19,0.95,0.540541,4.084324,151.12,-136.44,0.36739,0.183695,1,1.0,48.9692,robust_research_candidate,test concentration risk,45.8907,watchlist_concentrated,day concentration remains
2,MNQ_prior_session_levels_tf1_462e339342,MNQ,prior_session_levels,1,1,71.8,-81.7,-171.7,30,15,0.75,0.4,-2.723333,-81.7,-136.08,1.0,1.0,0,0.0,-20.0549,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; test concentration risk,-204.9606,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
3,MNQ_opening_range_breakout_tf1_9384ff9080,MNQ,opening_range_breakout,1,1,-45.05,-586.07,-640.07,18,18,0.9,0.277778,-32.559444,-586.07,-582.11,1.0,1.0,0,0.0,-31.4517,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; test concentration risk,-213.6433,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
