portfolio_set,portfolio_mode,signals,signal_keys,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,trades_per_active_day,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,average_pairwise_daily_correlation,max_pairwise_daily_correlation,trade_overlap_count,skipped_overlap_count,skipped_session_count,improves_concentration,improves_folds,improves_active_days,improves_drawdown,portfolio_label,research_status,paper_trading_approved
phase12a_only_top_signals,one_trade_at_a_time_chronological,1,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1151.71,1006.49,953.49,41.79,226.88,1006.49,953.49,0.833333,-3.42,53,53,1.0,-316.9,0.225298,0.225298,0.6287,0.947153,0.0,0.0,0,0,0,False,True,False,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase12a_only_top_signals,max_one_trade_per_session,1,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1151.71,1006.49,953.49,41.79,226.88,1006.49,953.49,0.833333,-3.42,53,53,1.0,-316.9,0.225298,0.225298,0.6287,0.947153,0.0,0.0,0,0,0,False,True,False,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
parked_research_signals_all,raw_sum_diagnostic,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,19002.63,17322.91,16709.91,1220.28,5609.74,17322.91,17122.91,0.666667,-2241.56,613,200,3.065,-2870.48,0.313721,0.052287,0.642396,0.261434,0.641647,1.0,653,0,0,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
parked_research_signals_all,one_trade_at_a_time_chronological,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,-306.77,-1334.29,-1709.29,-1163.4,-267.54,-1334.29,-1482.29,0.333333,-1006.51,375,148,2.533784,-2261.14,1.0,1.0,1.0,1.0,0.641647,1.0,0,238,0,False,False,True,,portfolio_audit_failed_negative,no_portfolio_benefit,False
parked_research_signals_all,max_one_trade_per_session,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,4276.16,3870.62,3722.62,366.04,1108.02,3870.62,3722.62,0.833333,-265.89,148,148,1.0,-678.88,0.234009,0.234009,0.541975,0.754479,0.641647,1.0,0,0,465,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
rare_setup_research_signals_all,raw_sum_diagnostic,8,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,16234.93,15075.85,14652.85,2281.33,6917.86,15075.85,14875.85,0.833333,-1553.98,423,200,2.115,-2677.42,0.167707,0.06008,0.496122,0.220074,0.414307,1.0,460,0,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
rare_setup_research_signals_all,one_trade_at_a_time_chronological,8,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2917.03,2196.4,1933.4,-400.59,2669.14,2196.4,2064.4,0.5,-1157.49,263,132,1.992424,-1350.75,0.412384,0.412384,0.934393,1.279503,0.414307,1.0,0,160,0,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
rare_setup_research_signals_all,max_one_trade_per_session,8,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,3023.53,2661.84,2529.84,847.49,2017.9,2661.84,2529.84,0.833333,-424.28,132,132,1.0,-955.24,0.340276,0.340276,0.724604,1.019708,0.414307,1.0,0,0,291,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
diversified_low_correlation_top5,raw_sum_diagnostic,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,9798.26,8724.15,8332.15,1226.59,4189.3,8724.15,8524.15,0.833333,-365.2,392,200,1.96,-1222.71,0.103822,0.103822,0.29422,0.360069,0.02626,0.611622,40,0,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
diversified_low_correlation_top5,one_trade_at_a_time_chronological,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,7375.38,6408.14,6055.14,577.49,3677.0,6408.14,6209.14,0.833333,-115.11,353,199,1.773869,-1117.99,0.141345,0.141345,0.361187,0.487006,0.02626,0.611622,0,39,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
diversified_low_correlation_top5,max_one_trade_per_session,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,6074.53,5529.25,5330.25,1193.09,2884.98,5529.25,5330.25,0.833333,-525.42,199,199,1.0,-1050.04,0.163812,0.163812,0.400738,0.551757,0.02626,0.611622,0,0,193,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
diversified_cross_family_top6,raw_sum_diagnostic,4,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,9269.82,8283.38,7923.38,793.43,2154.06,8283.38,8083.38,0.833333,-565.66,360,200,1.8,-1276.91,0.218693,0.109347,0.506503,0.450637,0.152549,1.0,56,0,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
diversified_cross_family_top6,one_trade_at_a_time_chronological,4,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5147.94,4309.48,4003.48,186.35,1214.26,4309.48,4127.48,0.666667,-335.41,306,182,1.681319,-1105.03,0.210178,0.210178,0.486783,0.677646,0.152549,1.0,0,54,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
diversified_cross_family_top6,max_one_trade_per_session,4,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5628.59,5129.89,4947.89,553.81,1301.32,5129.89,4947.89,0.833333,-185.33,182,182,1.0,-809.41,0.176565,0.176565,0.408933,0.569271,0.152549,1.0,0,0,178,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
