phase5f_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,phase5f_score,phase5f_label,phase5f_notes
1,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-1622.75,5700.945,5364.945,112,76,0.844444,0.464286,50.901295,979.965,-750.5,0.561487,0.409345,3,1.0,103.4772,robust_research_candidate,test concentration risk,140.7481,robust_research_candidate,concentration risk
2,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-1494.19,6296.085,5963.085,111,78,0.866667,0.45045,56.721486,912.265,-823.565,0.660466,0.499592,3,1.0,98.7043,robust_research_candidate,test concentration risk,129.3523,robust_research_candidate,concentration risk
3,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-1482.01,3839.075,3509.075,110,74,0.822222,0.427273,34.900682,-247.37,-1256.805,1.0,1.0,2,0.666667,47.667,robust_research_candidate,test concentration risk,36.2866,robust_research_candidate,concentration risk
