candidate_id,signal_time,confirmation_time,entry_time,trading_session,side,branch,or_window,entry_window,confirmation_model,exit_variant,signal_close,opening_range_high,opening_range_low,opening_range_midpoint,opening_range_width_points,opening_range_width_bucket,atr,sweep_extreme,sweep_distance_points,sweep_distance_bucket,first_touch,touch_sequence,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,or_start,or_end,entry_start,entry_end,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,split,fees_only_pnl,normal_slippage_pnl
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-14 10:20:00-04:00,2025-07-14 10:20:00-04:00,2025-07-14 10:25:00-04:00,2025-07-14,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,22977.75,22979.0,22922.0,22950.5,57.0,middle,42.81818181818182,22988.0,9.0,medium_sweep,1,first_touch,22977.5,2025-07-14 10:55:00-04:00,22988.25,stop,22988.25,23031.0227,22988.25,22950.5,-21.5,-24.24,-25.24,110.0,31.5,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-24.240000000000002,-24.24
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-24 09:45:00-04:00,2025-07-24 09:45:00-04:00,2025-07-24 09:50:00-04:00,2025-07-24,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23390.75,23399.5,23341.0,23370.25,58.5,middle,43.1875,23400.75,1.25,small_sweep,1,first_touch,23391.5,2025-07-24 10:20:00-04:00,23330.0,time_stop,23401.0,23445.4844,23401.0,23370.25,123.0,120.26,119.26,186.0,1.0,0,0,0,1,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,120.26,120.26
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-25 09:35:00-04:00,2025-07-25 09:35:00-04:00,2025-07-25 09:40:00-04:00,2025-07-25,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23351.75,23373.0,23344.5,23358.75,28.5,narrow,48.25,23378.5,5.5,medium_sweep,1,first_touch,23352.0,2025-07-25 09:45:00-04:00,23378.75,stop,23378.75,23412.3125,23378.75,23351.75,-53.5,-56.24,-57.24,18.0,66.0,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-56.24,-56.24
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-28 09:35:00-04:00,2025-07-28 09:35:00-04:00,2025-07-28 09:40:00-04:00,2025-07-28,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23487.25,23499.25,23462.5,23480.875,36.75,middle,27.75,23505.0,5.75,medium_sweep,1,first_touch,23487.25,2025-07-28 09:45:00-04:00,23505.25,stop,23505.25,23521.9375,23505.25,23480.875,-36.0,-38.74,-39.74,42.5,63.5,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-38.74,-38.74
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-29 09:40:00-04:00,2025-07-29 09:40:00-04:00,2025-07-29 09:45:00-04:00,2025-07-29,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23621.25,23636.0,23592.75,23614.375,43.25,middle,34.916666666666664,23649.5,13.5,medium_sweep,0,later_touch,23621.75,2025-07-29 10:15:00-04:00,23568.0,time_stop,23649.75,23665.3958,23649.75,23614.375,107.5,104.76,103.76,139.5,8.5,0,0,0,1,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,104.76,104.76
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-07-30 09:45:00-04:00,2025-07-30 09:45:00-04:00,2025-07-30 09:50:00-04:00,2025-07-30,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23489.75,23491.25,23450.25,23470.75,41.0,middle,34.0625,23526.5,35.25,large_sweep,0,later_touch,23490.0,2025-07-30 10:20:00-04:00,23515.5,time_stop,23526.75,23532.5781,23526.75,23470.75,-51.0,-53.74,-54.74,52.5,64.5,0,0,0,1,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-53.74,-53.74
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-08-05 09:35:00-04:00,2025-08-05 09:35:00-04:00,2025-08-05 09:40:00-04:00,2025-08-05,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23351.75,23357.25,23303.5,23330.375,53.75,middle,54.5,23362.25,5.0,small_sweep,1,first_touch,23351.75,2025-08-05 09:40:00-04:00,23362.5,stop,23362.5,23419.875,23362.5,23330.375,-21.5,-24.24,-25.24,20.0,30.0,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-24.240000000000002,-24.24
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-08-06 09:35:00-04:00,2025-08-06 09:35:00-04:00,2025-08-06 09:40:00-04:00,2025-08-06,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23159.5,23222.5,23153.75,23188.125,68.75,wide,76.0,23228.0,5.5,medium_sweep,1,first_touch,23159.75,2025-08-06 09:45:00-04:00,23228.25,stop,23228.25,23254.75,23228.25,23159.5,-137.0,-139.74,-140.74,22.0,159.5,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-139.74,-139.74
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-08-06 10:10:00-04:00,2025-08-06 10:10:00-04:00,2025-08-06 10:15:00-04:00,2025-08-06,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23219.25,23222.5,23153.75,23188.125,68.75,wide,59.77777777777778,23278.5,56.0,large_sweep,0,later_touch,23219.75,2025-08-06 10:45:00-04:00,23243.0,time_stop,23278.75,23294.4722,23278.75,23188.125,-46.5,-49.24,-50.24,111.0,99.0,0,0,0,1,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-49.24,-49.24
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-08-07 09:40:00-04:00,2025-08-07 09:40:00-04:00,2025-08-07 09:45:00-04:00,2025-08-07,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23605.0,23631.25,23582.75,23607.0,48.5,middle,46.833333333333336,23648.0,16.75,large_sweep,0,later_touch,23605.25,2025-08-07 09:55:00-04:00,23648.25,stop,23648.25,23663.7917,23648.25,23605.0,-86.0,-88.74,-89.74,71.5,107.5,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-88.74,-88.74
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,2025-08-11 09:40:00-04:00,2025-08-11 09:40:00-04:00,2025-08-11 09:45:00-04:00,2025-08-11,short,short_high_fade,OR5,opening_response,close_back_inside_fill_next_open,hard_stop_time_exit,23728.75,23730.75,23681.0,23705.875,49.75,middle,39.0,23738.5,7.75,medium_sweep,1,first_touch,23729.0,2025-08-11 09:55:00-04:00,23738.75,stop,23738.75,23777.75,23738.75,23705.875,-19.5,-22.24,-23.24,43.5,32.0,0,1,0,0,MNQ,09:30,09:35,09:35,10:30,5,1.25,1,30,2,30,discovery,-22.240000000000002,-22.24
