signal_timeframe,variants,traded,best_net_pnl,best_holdout_pnl,best_slippage_4_ticks,best_score,paper_candidates,median_net_pnl
1,96,96,5769.275000000003,3160.820000000005,5514.275000000003,88.966,31,809.6149999999966
3,83,83,4578.765000000021,3047.3200000000043,4341.765000000021,87.3798,15,315.7999999999231
2,54,54,5474.470000000016,2957.9950000000117,5228.470000000016,87.143,12,831.1850000000054
5,136,136,4798.225000000017,3155.570000000009,4558.225000000017,87.0633,18,-77.98000000000029
15,39,39,3992.08,1238.86,3893.08,84.1011,5,424.460000000042
10,25,25,3625.4400000000005,715.3799999999999,3493.4400000000005,73.2749,2,-290.14000000000055
