group,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
not_stop,2754,174497.94,171744.02,140.08714596949892,51.775417574437185
stopped_after_favorable_move,151,-12418.960000000001,-12569.960000000001,117.73178807947019,88.26490066225166
quick_or_adverse_stop,1897,-164324.55,-166221.51,36.82076963626779,116.21744860305746
