group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
OR30,1682,-3106.8,-7715.48,-9397.48,81.72770511296076,69.42865636147444
OR5,2236,-1659.07,-7785.720000000001,-10021.720000000001,81.90093917710196,72.07871198568873
OR15,1928,-15494.83,-20777.63,-22705.63,77.84154564315352,75.09802904564316
