phase7d_rank,combo_id,policy_id,funded_quantity,daily_profit_target,daily_loss_lockout,success,evaluation_pass_date,payout_date,estimated_payout,processed_days,max_loss_remaining_at_payout,final_pnl,breach_date,lockout_day_count,profit_target_lockout_count,loss_lockout_count,same_bar_stop_target_ambiguity_count,component_trade_counts,phase7d_notes
19,MGC_combo_risk_gated_81c3e717a3,q1_pt200_llnone,1,200.0,none,False,,,0.0,17,0.0,-307.5000000000256,2026-01-21,5,5,0,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
20,MGC_combo_risk_gated_81c3e717a3,q1_pt200_ll300,1,200.0,300.0,False,,,0.0,17,0.0,-307.5000000000256,2026-01-21,5,5,0,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
21,MGC_combo_risk_gated_1f7a54ca4a,q2_pt200_ll300,2,200.0,300.0,False,,,0.0,12,0.0,-333.9599999999673,2026-01-14,7,5,2,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
22,MGC_combo_risk_gated_81c3e717a3,q2_pt200_ll300,2,200.0,300.0,False,,,0.0,12,0.0,-333.9599999999673,2026-01-14,7,5,2,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
23,MGC_combo_risk_gated_1f7a54ca4a,q2_pt200_llnone,2,200.0,none,False,,,0.0,12,0.0,-385.27999999997456,2026-01-14,5,5,0,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
24,MGC_combo_risk_gated_81c3e717a3,q2_pt200_llnone,2,200.0,none,False,,,0.0,12,0.0,-385.27999999997456,2026-01-14,5,5,0,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
25,MGC_combo_risk_gated_6985e8842f,q1_pt200_llnone,1,200.0,none,False,,,0.0,17,0.0,-517.9400000000219,2026-01-21,4,4,0,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
26,MGC_combo_risk_gated_6985e8842f,q1_pt200_ll300,1,200.0,300.0,False,,,0.0,17,0.0,-517.9400000000219,2026-01-21,4,4,0,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
27,MGC_combo_risk_gated_6c8bb9c3a3,q1_pt200_llnone,1,200.0,none,False,,,0.0,17,0.0,-520.7200000000255,2026-01-21,4,4,0,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
28,MGC_combo_risk_gated_6c8bb9c3a3,q1_pt200_ll300,1,200.0,300.0,False,,,0.0,17,0.0,-520.7200000000255,2026-01-21,4,4,0,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
29,MGC_combo_risk_gated_6985e8842f,q2_pt200_ll300,2,200.0,300.0,False,,,0.0,12,0.0,-573.2799999999672,2026-01-14,6,4,2,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
30,MGC_combo_risk_gated_6c8bb9c3a3,q2_pt200_ll300,2,200.0,300.0,False,,,0.0,12,0.0,-573.2799999999672,2026-01-14,6,4,2,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
31,MGC_combo_risk_gated_6985e8842f,q2_pt200_llnone,2,200.0,none,False,,,0.0,12,0.0,-624.5999999999744,2026-01-14,4,4,0,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
32,MGC_combo_risk_gated_6c8bb9c3a3,q2_pt200_llnone,2,200.0,none,False,,,0.0,12,0.0,-624.5999999999744,2026-01-14,4,4,0,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
