phase11a_rank,candidate_id,instrument,branch,side,or_window,or_start,or_end,entry_window,entry_start,entry_end,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,phase11a_label,research_axis_status,phase11a_score,reject_reasons
39,MNQ_11a_orfade_short_high_fade_OR15_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,147,101,1.455446,-943.63,-1346.41,-1346.41,-1346.41,-1493.41,-1080.45,-184.79,-2314.17,1.0,1.0,65.18,62.98,0.585034,0.367347,0.047619,-2051.03,-2141.03,0.166667,-907.35,0,phase11a_rejected_negative_stress,axis_failed,-10198.61,negative stress; negative validation; negative holdout; fold instability; concentration
40,MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,164,138,1.188406,-1711.75,-2161.11,-2161.11,-2161.11,-2325.11,-499.65,-1546.59,-2388.02,1.0,1.0,69.36,67.93,0.402439,0.585366,0.012195,-1613.7,-1718.7,0.5,-845.3,0,phase11a_rejected_negative_stress,axis_failed,-10681.83,negative stress; negative validation; negative holdout; fold instability; concentration
41,MNQ_11a_orfade_short_high_fade_OR15_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,147,101,1.455446,-1619.52,-2022.3,-2022.3,-2022.3,-2169.3,-1319.2,-413.84,-2876.84,1.0,1.0,90.1,71.82,0.666667,0.0,0.333333,-2507.76,-2597.76,0.166667,-843.1,0,phase11a_rejected_negative_stress,axis_failed,-11893.9,negative stress; negative validation; negative holdout; fold instability; concentration
42,MNQ_11a_orfade_short_high_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,130,115,1.130435,-2214.0,-2570.2,-2570.2,-2570.2,-2700.2,-1030.47,-769.67,-2677.55,1.0,1.0,60.97,72.85,0.576923,0.392308,0.030769,-2207.69,-2288.69,0.0,-764.11,0,phase11a_rejected_negative_stress,axis_failed,-11916.44,negative stress; negative validation; negative holdout; fold instability; concentration
43,MNQ_11a_orfade_short_high_fade_OR15_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,116,84,1.380952,-1937.88,-2255.72,-2255.73,-2255.73,-2371.73,-862.11,-1201.08,-3013.89,1.0,1.0,87.04,85.68,0.577586,0.0,0.422414,-2422.87,-2493.87,0.166667,-751.02,0,phase11a_rejected_negative_stress,axis_failed,-12129.49,negative stress; negative validation; negative holdout; fold instability; concentration
44,MNQ_11a_orfade_short_high_fade_OR15_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,130,115,1.130435,-1867.0,-2223.2,-2223.2,-2223.2,-2353.2,-1212.22,243.58,-3292.88,1.0,1.0,97.66,88.1,0.676923,0.0,0.323077,-2364.94,-2445.94,0.166667,-766.58,0,phase11a_rejected_negative_stress,axis_failed,-12342.02,negative stress; negative validation; fold instability; concentration
45,MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,164,138,1.188406,-2331.5,-2780.86,-2780.86,-2780.86,-2944.86,-837.4,-289.84,-3476.48,1.0,1.0,118.02,97.1,0.676829,0.0,0.323171,-1843.2,-1948.2,0.333333,-694.3,0,phase11a_rejected_negative_stress,axis_failed,-12619.54,negative stress; negative validation; negative holdout; fold instability; concentration
46,MNQ_11a_orfade_short_high_fade_OR30_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,120,83,1.445783,593.97,265.17,265.17,265.17,145.17,-781.99,274.72,-997.67,2.674737,2.674737,95.87,68.75,0.566667,0.0,0.433333,-287.69,-354.69,0.333333,-510.33,0,phase11a_rejected_negative_validation,axis_positive_but_concentrated,-13830.875,negative validation; fold instability; concentration
47,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,61,61,1.0,423.32,256.18,256.18,256.18,195.18,51.38,1229.88,-1249.64,2.895464,2.895464,109.46,83.91,0.57377,0.0,0.42623,381.34,347.34,0.333333,-379.92,0,phase11a_rejected_fold_instability,axis_positive_but_concentrated,-14434.44,fold instability; concentration
48,MNQ_11a_orfade_short_high_fade_OR15_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,82,82,1.0,258.63,33.95,33.94,33.94,-48.06,-713.08,1414.59,-1962.94,17.376547,17.376547,133.07,95.36,0.512195,0.0,0.487805,561.43,505.43,0.5,-882.12,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-87638.305,negative stress; negative validation; fold instability; concentration
