phase11a_rank,candidate_id,instrument,branch,side,or_window,or_start,or_end,entry_window,entry_start,entry_end,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,phase11a_label,research_axis_status,phase11a_score,reject_reasons
11,MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,125,113,1.106195,247.56,-94.94,-94.94,-94.94,-219.94,-458.73,1017.75,-1553.77,1.0,1.0,70.2,67.34,0.4,0.584,0.016,-115.21,-188.21,0.166667,-648.87,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-6211.92,negative stress; negative validation; fold instability; concentration
12,MNQ_11a_orfade_long_low_fade_OR5_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,126,92,1.369565,-238.97,-584.21,-584.21,-584.21,-710.21,-188.73,-151.51,-895.05,1.0,1.0,48.94,50.96,0.293651,0.642857,0.063492,-321.22,-400.22,0.333333,-398.88,0,phase11a_rejected_negative_stress,axis_failed,-6255.48,negative stress; negative validation; negative holdout; fold instability; concentration
13,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,127,114,1.114035,-209.5,-557.48,-557.48,-557.48,-684.48,-388.03,550.47,-1239.9,1.0,1.0,57.88,57.16,0.275591,0.724409,0.0,-33.29,-104.29,0.333333,-266.15,0,phase11a_rejected_negative_stress,axis_failed,-6278.67,negative stress; negative validation; fold instability; concentration
14,MNQ_11a_orfade_short_high_fade_OR5_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,150,103,1.456311,-142.41,-553.41,-553.41,-553.41,-703.41,87.94,-77.93,-759.34,1.0,1.0,60.96,57.52,0.446667,0.513333,0.04,-701.53,-794.53,0.333333,-658.87,0,phase11a_rejected_negative_stress,axis_failed,-6507.28,negative stress; negative holdout; fold instability; concentration
15,MNQ_11a_orfade_long_low_fade_OR15_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,127,89,1.426966,-409.45,-757.43,-757.43,-757.43,-884.43,70.81,-894.19,-1074.22,1.0,1.0,55.23,59.27,0.393701,0.480315,0.125984,-396.46,-472.46,0.333333,-847.34,0,phase11a_rejected_negative_stress,axis_failed,-6681.11,negative stress; negative holdout; fold instability; concentration
16,MNQ_11a_orfade_long_low_fade_OR30_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,156,105,1.485714,-202.82,-630.26,-630.26,-630.26,-786.26,328.89,-278.5,-1337.47,1.0,1.0,82.96,68.1,0.564103,0.0,0.435897,-246.69,-333.69,0.5,-324.88,0,phase11a_rejected_negative_stress,axis_failed,-6707.42,negative stress; negative holdout; fold instability; concentration
17,MNQ_11a_orfade_long_low_fade_OR30_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,139,95,1.463158,101.69,-279.17,-279.17,-279.17,-418.17,218.99,-311.92,-1572.75,1.0,1.0,83.31,73.84,0.47482,0.0,0.52518,-460.3,-540.3,0.666667,-625.14,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-6781.22,negative stress; negative holdout; fold instability; concentration
18,MNQ_11a_orfade_long_low_fade_OR15_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,127,89,1.426966,-124.75,-472.73,-472.73,-472.73,-599.73,-511.99,-599.44,-1326.65,1.0,1.0,78.17,70.58,0.480315,0.0,0.519685,-682.26,-758.26,0.5,-723.34,0,phase11a_rejected_negative_stress,axis_failed,-6934.64,negative stress; negative validation; negative holdout; fold instability; concentration
19,MNQ_11a_orfade_short_high_fade_OR15_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,82,82,1.0,-675.87,-900.55,-900.56,-900.56,-982.56,-527.83,-117.78,-1236.9,1.0,1.0,68.68,71.52,0.378049,0.597561,0.02439,-478.94,-534.94,0.333333,-480.37,0,phase11a_rejected_negative_stress,axis_failed,-7004.4,negative stress; negative validation; negative holdout; fold instability; concentration
20,MNQ_11a_orfade_long_low_fade_OR30_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,69,69,1.0,529.17,340.11,340.11,340.11,271.11,-691.38,1065.93,-1805.85,1.317985,1.317985,123.17,84.06,0.565217,0.0,0.434783,348.45,309.45,0.333333,-421.7,0,phase11a_rejected_negative_validation,axis_positive_but_concentrated,-7065.215,negative validation; fold instability; concentration
21,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,61,61,1.0,-789.25,-956.39,-956.39,-956.39,-1017.39,-188.62,-126.62,-1114.6,1.0,1.0,69.77,70.61,0.508197,0.360656,0.131148,-653.16,-687.16,0.166667,-267.69,0,phase11a_rejected_negative_stress,axis_failed,-7069.15,negative stress; negative validation; negative holdout; fold instability; concentration
22,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,183,152,1.203947,-296.23,-797.65,-797.65,-797.65,-980.65,-324.08,595.33,-1559.19,1.0,1.0,68.24,66.86,0.36612,0.63388,0.0,-206.17,-312.17,0.5,-565.39,0,phase11a_rejected_negative_stress,axis_failed,-7102.01,negative stress; negative validation; fold instability; concentration
23,MNQ_11a_orfade_long_low_fade_OR15_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,88,86,1.023256,-580.27,-821.39,-821.4,-821.4,-909.4,-608.5,321.9,-1558.21,1.0,1.0,56.2,65.85,0.318182,0.670455,0.011364,-480.67,-528.67,0.166667,-573.57,0,phase11a_rejected_negative_stress,axis_failed,-7246.28,negative stress; negative validation; fold instability; concentration
24,MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,125,113,1.106195,-14.96,-357.46,-357.46,-357.46,-482.46,-11.73,1132.5,-2636.33,1.0,1.0,116.64,97.87,0.6,0.0,0.4,109.79,36.79,0.5,-737.62,0,phase11a_rejected_negative_stress,axis_failed,-7332.0,negative stress; negative validation; fold instability; concentration
25,MNQ_11a_orfade_long_low_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,55,55,1.0,-895.53,-1046.23,-1046.23,-1046.23,-1101.23,-34.4,-31.59,-1843.37,1.0,1.0,104.35,98.0,0.490909,0.0,0.509091,-480.13,-511.13,0.5,-562.68,0,phase11a_rejected_low_activity,axis_failed,-7705.73,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
26,MNQ_11a_orfade_short_high_fade_OR5_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,105,96,1.09375,-878.5,-1166.2,-1166.2,-1166.2,-1271.2,-906.02,6.75,-1311.08,1.0,1.0,64.96,68.21,0.333333,0.657143,0.009524,-930.56,-999.56,0.333333,-638.84,0,phase11a_rejected_negative_stress,axis_failed,-7831.84,negative stress; negative validation; fold instability; concentration
27,MNQ_11a_orfade_short_high_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,150,103,1.456311,-539.31,-950.31,-950.31,-950.31,-1100.31,159.94,-583.98,-1527.32,1.0,1.0,92.8,72.55,0.62,0.0,0.38,-973.27,-1066.27,0.333333,-1304.42,0,phase11a_rejected_negative_stress,axis_failed,-7943.9,negative stress; negative holdout; fold instability; concentration
28,MNQ_11a_orfade_short_high_fade_OR30_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,120,83,1.445783,-770.08,-1098.88,-1098.88,-1098.88,-1218.88,-643.49,-306.98,-1365.46,1.0,1.0,64.24,65.64,0.533333,0.325,0.141667,-1070.71,-1137.71,0.166667,-532.83,0,phase11a_rejected_negative_stress,axis_failed,-7972.05,negative stress; negative validation; negative holdout; fold instability; concentration
