group,trades,gross_pnl,net_pnl,stress_pnl,avg_mfe,avg_mae
hard_stop_time_exit,2923,-8026.39,-16035.470000000001,-18958.47,97.77899418405748,81.290455011974
midpoint_target_time_exit,2923,-12234.31,-20243.36,-23166.36,63.245638043106396,63.33356140951078
