phase,candidate_id,positive_wf_test_folds_pct,worst_wf_test_fold,fold_stress_pnl_distribution,one_bad_fold_explains_rejection
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,0.666667,-521.64,192.22;-521.64;-187.15;522.44;677.92;309.66,True
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,0.666667,-350.0,-190.7;507.72;101.6;-350.0;136.78;57.86,True
phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,0.333333,-379.92,-78.94;-88.22;252.06;-189.94;-379.92;832.3,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.5,-128.72,-109.46;301.84;162.51;-128.72;310.84;-96.96,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,0.666667,-183.46,-107.79;379.07;301.78;6.33;221.84;-183.46,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,0.666667,-209.81,-166.79;-209.81;263.41;110.59;274.32;210.51,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,0.833333,-24.91,12.54;94.69;148.91;-24.91;40.32;111.01,True
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.666667,-219.94,64.54;43.32;410.04;-219.94;199.26;0.0,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,0.5,-138.13,186.3;-86.18;167.93;-39.89;-138.13;212.59,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,0.833333,-233.29,-233.29;50.19;13.3;293.78;97.86;21.04,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,0.333333,-153.46,-153.46;-51.16;97.01;-46.22;194.84;-33.96,True
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,0.5,-413.95,-32.88;-413.95;354.78;83.3;44.76;0.0,True
