phase,candidate_id,selected_reason,label,research_axis_status,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,best_day_concentration,best_trade_concentration,trades,active_days,interpretation,reject_reasons
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1643.5,1587.5,644.66,2011.98,1982.5,0.353368,0.353368,56,56,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,996.36,947.36,534.01,749.88,1476.23,0.559296,0.559296,49,49,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,996.36,947.36,534.01,749.88,1476.23,0.559296,0.559296,49,49,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,969.7,898.7,729.27,912.14,1721.29,0.574673,0.574673,71,71,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,969.7,898.7,729.27,912.14,1721.29,0.574673,0.574673,71,71,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1001.57,917.57,764.92,2095.74,1949.82,0.57985,0.57985,84,84,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1001.57,917.57,764.92,2095.74,1949.82,0.57985,0.57985,84,84,real_but_nontradable_signal,fold instability; concentration
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,recommendation_top_candidate,phase11a_rejected_fold_instability,axis_positive_but_concentrated,1366.61,1215.61,82.84,303.5,576.23,0.263982,0.263982,151,98,real_but_nontradable_signal,fold instability; concentration
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase11a_rejected_fold_instability,axis_positive_but_concentrated,1042.64,859.64,720.79,1112.58,993.45,0.3954,0.3954,183,152,real_but_nontradable_signal,fold instability; concentration
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase11a_rejected_fold_instability,axis_positive_but_concentrated,455.59,328.59,92.1,337.14,263.26,0.9016,0.9016,127,114,real_but_nontradable_signal,fold instability; concentration
phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase11a_rejected_fold_instability,axis_positive_but_concentrated,256.18,195.18,51.38,1229.88,347.34,2.895464,2.895464,61,61,real_but_nontradable_signal,fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,recommendation_top_candidate,phase12a_rejected_low_activity,axis_positive_but_concentrated,1006.49,953.49,41.79,226.88,440.05,0.225298,0.225298,53,53,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,761.81,715.81,313.11,51.38,617.77,0.291096,0.291096,46,46,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,682.13,637.13,381.0,495.83,482.23,0.325099,0.325099,45,45,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,383.96,338.96,131.0,162.33,382.56,0.387436,0.387436,45,45,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,470.97,429.97,92.84,200.26,497.22,0.819076,0.819076,41,41,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,267.42,212.42,139.04,123.22,302.62,0.782514,0.782514,55,55,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,220.86,166.86,315.08,131.9,242.88,0.884089,0.884089,54,54,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,67.49,14.49,58.79,173.88,7.05,2.315306,2.315306,53,53,candidate_needs_more_history,low activity; fold instability; concentration
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,positive_stress_validation_holdout_wf,phase12a_rejected_low_activity,axis_positive_but_concentrated,66.32,33.32,360.32,45.76,36.01,5.31152,5.31152,33,33,candidate_needs_more_history,low activity; fold instability; concentration
