audit,portfolio_set,portfolio_mode,fold,is_weak_fold,overlap_days,overlap_day_frequency,avg_modules_firing_per_day,trade_overlap_count_portfolio_level,skipped_overlap_count_portfolio_level,skipped_session_count_portfolio_level,early_losing_module_when_later_module_helped_days,diagnosis_overlap_priority_risk,diagnosis_max_one_session_suppression_risk,high_movement_no_trade_days
C,diversifier_only_13a_14a,max_one_trade_per_session,3,True,41,0.97619,10.452381,0,0,202,6,True,True,0
C,prior_level_diversifiers_only,max_one_trade_per_session,3,True,41,0.97619,10.452381,0,0,202,6,True,True,0
C,all_parked_modules_with_13a_14a,max_one_trade_per_session,3,True,40,1.0,9.925,0,0,1514,8,True,True,0
C,greedy_low_correlation_with_14a,max_one_trade_per_session,3,True,41,1.0,10.121951,0,0,474,9,True,True,0
C,audit_b_best_reconstructed,max_one_trade_per_session,4,True,37,1.0,10.513514,0,0,193,10,True,True,0
C,audit_b_best_plus_phase14a,max_one_trade_per_session,4,True,40,1.0,10.55,0,0,313,11,True,True,0
C,top_cross_family_plus_13a_14a,max_one_trade_per_session,4,True,40,1.0,10.4,0,0,450,10,True,True,0
C,diversifier_only_13a_14a,max_one_trade_per_session,4,True,40,1.0,10.325,0,0,202,12,True,True,0
C,prior_level_diversifiers_only,max_one_trade_per_session,4,True,40,1.0,10.325,0,0,202,12,True,True,0
C,all_parked_modules_with_13a_14a,max_one_trade_per_session,4,True,41,1.0,10.219512,0,0,1514,10,True,True,0
C,greedy_low_correlation_with_14a,max_one_trade_per_session,4,True,40,1.0,10.375,0,0,474,10,True,True,0
C,audit_b_best_reconstructed,one_trade_at_a_time_chronological,1,True,42,1.0,9.309524,0,39,0,12,True,False,0
C,audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,1,True,40,1.0,9.225,0,218,0,11,True,False,0
C,top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,1,True,40,1.0,9.225,0,191,0,12,True,False,0
C,diversifier_only_13a_14a,one_trade_at_a_time_chronological,1,True,39,1.0,9.410256,0,130,0,11,True,False,0
C,prior_level_diversifiers_only,one_trade_at_a_time_chronological,1,True,39,1.0,9.410256,0,130,0,11,True,False,0
C,all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,1,True,42,1.0,9.238095,0,853,0,12,True,False,0
C,greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,1,True,40,1.0,9.225,0,84,0,12,True,False,0
C,all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,2,True,41,0.97619,9.547619,0,853,0,8,True,False,0
C,diversifier_only_13a_14a,one_trade_at_a_time_chronological,3,True,41,0.97619,10.452381,0,130,0,6,True,False,0
C,prior_level_diversifiers_only,one_trade_at_a_time_chronological,3,True,41,0.97619,10.452381,0,130,0,6,True,False,0
C,audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,4,True,40,1.0,10.55,0,69,0,11,True,False,0
C,audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,4,True,40,1.0,10.4,0,218,0,10,True,False,0
C,top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,4,True,40,1.0,10.4,0,191,0,10,True,False,0
C,diversifier_only_13a_14a,one_trade_at_a_time_chronological,4,True,40,1.0,10.325,0,130,0,12,True,False,0
C,prior_level_diversifiers_only,one_trade_at_a_time_chronological,4,True,40,1.0,10.325,0,130,0,12,True,False,0
C,all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,4,True,41,1.0,10.219512,0,853,0,10,True,False,0
C,greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,4,True,40,1.0,10.375,0,84,0,10,True,False,0
C,all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,5,True,39,0.975,8.9,0,853,0,7,True,False,0
C,audit_b_best_reconstructed,raw_sum_diagnostic,1,True,42,1.0,9.309524,40,0,0,12,True,False,0
C,audit_b_best_plus_phase14a,raw_sum_diagnostic,1,True,40,1.0,9.225,74,0,0,11,True,False,0
C,audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,1,True,40,1.0,9.225,267,0,0,11,True,False,0
C,top_cross_family_plus_13a_14a,raw_sum_diagnostic,1,True,40,1.0,9.225,249,0,0,12,True,False,0
C,diversifier_only_13a_14a,raw_sum_diagnostic,1,True,39,1.0,9.410256,139,0,0,11,True,False,0
C,prior_level_diversifiers_only,raw_sum_diagnostic,1,True,39,1.0,9.410256,139,0,0,11,True,False,0
C,all_parked_modules_with_13a_14a,raw_sum_diagnostic,1,True,42,1.0,9.238095,2854,0,0,12,True,False,0
C,greedy_low_correlation_with_14a,raw_sum_diagnostic,1,True,40,1.0,9.225,96,0,0,12,True,False,0
C,top_cross_family_plus_13a_14a,raw_sum_diagnostic,3,True,40,1.0,10.175,249,0,0,8,True,False,0
C,diversifier_only_13a_14a,raw_sum_diagnostic,3,True,41,0.97619,10.452381,139,0,0,6,True,False,0
C,prior_level_diversifiers_only,raw_sum_diagnostic,3,True,41,0.97619,10.452381,139,0,0,6,True,False,0
C,top_cross_family_plus_13a_14a,raw_sum_diagnostic,4,True,40,1.0,10.4,249,0,0,10,True,False,0
