signal_time,entry_time,trading_session,side,box_high,box_low,entry_model,timeframe,compression_method,direction_mode,entry_price,signal_close,next_bar_close,entry_slippage_from_signal_close,next_close_slippage_from_signal_close,exit_time,exit_price,exit_reason,stop_price,target_price,risk_dollars,gross_pnl,net_pnl,stress_pnl,mfe,mae,mfe_to_mae_ratio,r_multiple,target_hit,stop_hit,time_stop,same_bar_ambiguity,candidate_id,instrument,family,compression_lookback,compression_threshold,stop_model,target_model,target_r,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,avoid_first_minutes,avoid_10_00_10_30,notes,time_bucket,mfe_mae_bucket,stop_target_bucket,split,fold
2025-12-03 10:00:00-05:00,2025-12-03 10:05:00-05:00,2025-12-03,long,25538.0,25430.0,next_bar_open,5,range_percentile,long_only,25571.5,25571.75,25513.5,-0.5,-116.5,2025-12-03 10:50:00-05:00,25560.5,time_stop,25430.0,25783.75,283.0,-22.0,-24.74,-25.74,67.5,147.0,0.459184,-0.077739,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:00-10:30,mae_dominates,time_or_flatten,discovery,1
2025-12-03 10:30:00-05:00,2025-12-03 10:35:00-05:00,2025-12-03,long,25574.25,25430.0,next_bar_open,5,range_percentile,long_only,25578.25,25577.75,25570.75,1.0,-14.0,2025-12-03 11:20:00-05:00,25551.75,time_stop,25430.0,25800.625,296.5,-53.0,-55.74,-56.74,54.0,113.0,0.477876,-0.178752,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mae_dominates,time_or_flatten,discovery,1
2025-12-04 10:35:00-05:00,2025-12-04 10:40:00-05:00,2025-12-04,long,25606.75,25520.0,next_bar_open,5,range_percentile,long_only,25628.75,25628.75,25630.0,0.0,2.5,2025-12-04 11:05:00-05:00,25520.0,stop,25520.0,25791.875,217.5,-217.5,-220.24,-221.24,20.5,247.0,0.082996,-1.0,0,1,0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mae_dominates,quick_or_adverse_stop,discovery,1
2025-12-04 11:55:00-05:00,2025-12-04 12:00:00-05:00,2025-12-04,long,25636.25,25538.25,next_bar_open,5,range_percentile,long_only,25641.75,25642.0,25638.0,-0.5,-8.0,2025-12-04 12:45:00-05:00,25600.75,time_stop,25538.25,25797.0,207.0,-82.0,-84.74,-85.74,25.0,111.5,0.224215,-0.396135,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,1
2025-12-05 09:50:00-05:00,2025-12-05 09:55:00-05:00,2025-12-05,long,25777.75,25660.5,next_bar_open,5,range_percentile,long_only,25795.0,25794.75,25791.0,0.5,-7.5,2025-12-05 10:40:00-05:00,25820.0,time_stop,25660.5,25996.75,269.0,50.0,47.26,46.26,145.5,57.0,2.552632,0.185874,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,09:30-10:00,mfe_ge_mae,time_or_flatten,discovery,1
2025-12-09 10:40:00-05:00,2025-12-09 10:45:00-05:00,2025-12-09,long,25670.0,25615.25,next_bar_open,5,range_percentile,long_only,25680.0,25679.75,25651.75,0.5,-56.0,2025-12-09 11:30:00-05:00,25707.5,time_stop,25615.25,25777.125,129.5,55.0,52.26,51.26,59.5,89.0,0.668539,0.42471,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mae_dominates,time_or_flatten,discovery,1
2025-12-09 12:00:00-05:00,2025-12-09 12:05:00-05:00,2025-12-09,long,25715.75,25667.0,next_bar_open,5,range_percentile,long_only,25725.5,25725.0,25724.0,1.0,-2.0,2025-12-09 12:50:00-05:00,25707.5,time_stop,25667.0,25813.25,117.0,-36.0,-38.74,-39.74,15.0,73.0,0.205479,-0.307692,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,1
2025-12-10 11:25:00-05:00,2025-12-10 11:30:00-05:00,2025-12-10,long,25646.0,25528.25,next_bar_open,5,range_percentile,long_only,25647.25,25647.25,25648.5,0.0,2.5,2025-12-10 12:15:00-05:00,25625.75,time_stop,25528.25,25825.75,238.0,-43.0,-45.74,-46.74,22.5,74.0,0.304054,-0.180672,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,1
2025-12-10 12:50:00-05:00,2025-12-10 12:55:00-05:00,2025-12-10,long,25650.25,25616.0,next_bar_open,5,range_percentile,long_only,25668.25,25667.75,25665.0,1.0,-5.5,2025-12-10 13:25:00-05:00,25616.0,stop,25616.0,25746.625,104.5,-104.5,-107.24,-108.24,27.5,144.0,0.190972,-1.0,0,1,0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,quick_or_adverse_stop,discovery,1
2025-12-11 10:20:00-05:00,2025-12-11 10:25:00-05:00,2025-12-11,long,25605.0,25390.25,next_bar_open,5,range_percentile,long_only,25624.0,25624.25,25599.0,-0.5,-50.5,2025-12-11 11:10:00-05:00,25512.25,time_stop,25390.25,25974.625,467.5,-223.5,-226.24,-227.24,10.5,336.5,0.031204,-0.478075,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:00-10:30,mae_dominates,time_or_flatten,discovery,1
2025-12-11 12:20:00-05:00,2025-12-11 12:25:00-05:00,2025-12-11,long,25589.25,25467.0,next_bar_open,5,range_percentile,long_only,25619.0,25618.75,25604.25,0.5,-29.0,2025-12-11 13:10:00-05:00,25633.75,time_stop,25467.0,25847.0,304.0,29.5,26.76,25.76,56.5,81.5,0.693252,0.097039,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,1
2025-12-16 09:55:00-05:00,2025-12-16 10:00:00-05:00,2025-12-16,long,25148.0,24960.5,next_bar_open,5,range_percentile,long_only,25150.5,25150.5,25112.75,0.0,-75.5,2025-12-16 10:25:00-05:00,24960.5,stop,24960.5,25435.5,380.0,-380.0,-382.74,-383.74,28.0,428.0,0.065421,-1.0,0,1,0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:00-10:30,mae_dominates,quick_or_adverse_stop,discovery,1
2025-12-16 13:45:00-05:00,2025-12-16 13:50:00-05:00,2025-12-16,long,25079.75,24937.0,next_bar_open,5,range_percentile,long_only,25089.25,25087.75,25073.0,3.0,-29.5,2025-12-16 14:35:00-05:00,25058.5,time_stop,24937.0,25317.625,304.5,-61.5,-64.24,-65.24,33.5,208.0,0.161058,-0.20197,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mae_dominates,time_or_flatten,discovery,1
2025-12-18 13:20:00-05:00,2025-12-18 13:25:00-05:00,2025-12-18,long,25371.75,25297.25,next_bar_open,5,range_percentile,long_only,25374.5,25374.5,25362.5,0.0,-24.0,2025-12-18 14:00:00-05:00,25297.25,stop,25297.25,25490.375,154.5,-154.5,-157.24,-158.24,56.0,222.0,0.252252,-1.0,0,1,0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,quick_or_adverse_stop,discovery,1
2025-12-18 15:30:00-05:00,2025-12-18 15:35:00-05:00,2025-12-18,long,25316.0,25192.75,next_bar_open,5,range_percentile,long_only,25319.0,25318.75,25308.75,0.5,-20.0,2025-12-18 15:45:00-05:00,25331.25,session_flatten,25192.75,25508.375,252.5,24.5,21.76,20.76,47.0,46.0,1.021739,0.09703,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mfe_ge_mae,time_or_flatten,discovery,1
2025-12-19 12:15:00-05:00,2025-12-19 12:20:00-05:00,2025-12-19,long,25565.0,25494.5,next_bar_open,5,range_percentile,long_only,25567.75,25567.5,25577.0,0.5,19.0,2025-12-19 13:05:00-05:00,25581.25,time_stop,25494.5,25677.625,146.5,27.0,24.26,23.26,59.5,20.0,2.975,0.1843,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,1
2025-12-19 14:20:00-05:00,2025-12-19 14:25:00-05:00,2025-12-19,long,25576.75,25544.25,next_bar_open,5,range_percentile,long_only,25580.25,25580.75,25578.0,-1.0,-5.5,2025-12-19 15:10:00-05:00,25575.0,time_stop,25544.25,25634.25,72.0,-10.5,-13.24,-14.24,18.5,26.0,0.711538,-0.145833,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mae_dominates,time_or_flatten,discovery,1
2025-12-23 10:40:00-05:00,2025-12-23 10:45:00-05:00,2025-12-23,long,25707.5,25627.25,next_bar_open,5,range_percentile,long_only,25712.5,25712.5,25712.25,0.0,-0.5,2025-12-23 11:30:00-05:00,25741.0,time_stop,25627.25,25840.375,170.5,57.0,54.26,53.26,90.5,20.0,4.525,0.334311,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mfe_ge_mae,time_or_flatten,discovery,1
2025-12-24 11:05:00-05:00,2025-12-24 11:10:00-05:00,2025-12-24,long,25834.0,25804.0,next_bar_open,5,range_percentile,long_only,25839.0,25838.75,25850.75,0.5,24.0,2025-12-24 11:55:00-05:00,25876.25,time_stop,25804.0,25891.5,70.0,74.5,71.76,70.76,95.0,1.5,63.333333,1.064286,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mfe_ge_mae,time_or_flatten,discovery,1
2025-12-30 09:55:00-05:00,2025-12-30 10:00:00-05:00,2025-12-30,long,25749.5,25673.5,next_bar_open,5,range_percentile,long_only,25756.0,25756.75,25735.75,-1.5,-42.0,2025-12-30 10:45:00-05:00,25711.25,time_stop,25673.5,25879.75,165.0,-89.5,-92.24,-93.24,11.0,155.5,0.07074,-0.542424,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:00-10:30,mae_dominates,time_or_flatten,discovery,1
2025-12-30 11:15:00-05:00,2025-12-30 11:20:00-05:00,2025-12-30,long,25765.75,25678.25,next_bar_open,5,range_percentile,long_only,25767.0,25766.75,25782.25,0.5,31.0,2025-12-30 12:05:00-05:00,25719.25,time_stop,25678.25,25900.125,177.5,-95.5,-98.24,-99.24,54.0,116.0,0.465517,-0.538028,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:30-11:30,mae_dominates,time_or_flatten,discovery,1
