group,trades,net_pnl,stress_pnl,avg_pnl,median_pnl,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,validation_pnl,holdout_pnl,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,mfe_to_mae_ratio,target_hit_rate,stop_hit_rate,time_stop_rate,same_bar_ambiguity_rate,walk_forward_stress_pnl,positive_wf_folds_pct
next_bar_close,4079,31725.04,27646.04,7.78,4.76,0.520961,1.190131,93.45,-85.39,-3843.39,1887.34,5645.31,0.218585,0.026092,108.34,95.52,1.134126,0.020103,0.048541,0.931356,0.000981,27646.04,0.0
next_bar_open,4079,17786.79,13707.79,4.36,5.76,0.523167,1.091899,99.03,-99.51,-4790.16,-1848.66,2803.06,0.464284,0.050164,105.24,98.67,1.066588,0.013484,0.051483,0.935033,0.0,13707.79,0.0
