pruning_variant,priority_policy,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,0.281527,0.281527,0.669804,0.975341
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,2.4053,1.536645,5.085946,5.869639
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2.705894,1.728682,5.721544,6.603176
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,2.705894,1.728682,5.721544,6.603176
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,2.705894,1.728682,5.721544,6.603176
