pruning_variant,priority_policy,portfolio_mode,trading_session,net_pnl
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-14,8.519999999999996
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-15,-126.46000000000001
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-16,-87.72
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-17,-34.379999999999995
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-18,-116.19999999999999
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-21,79.02
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-22,-86.22
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-23,-135.45
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-24,58.300000000000004
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-25,128.28
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-28,107.8
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-29,-135.95999999999998
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-30,-15.719999999999999
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-31,-76.19999999999999
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-01,-128.72
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-04,-58.480000000000004
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-05,-58.959999999999994
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-06,-95.46
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-07,6.52000000000001
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-08,-93.98
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-11,-14.350000000000001
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-12,13.06000000000001
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-13,-330.3
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-14,-67.72
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-15,28.54
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-18,-197.1
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-19,-133.45999999999998
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-20,-281.37
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-21,-690.85
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-22,195.26
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-25,136.02
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-26,-141.69
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-27,-29.20000000000001
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-28,50.28
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-29,19.020000000000003
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-01,5.26
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-02,259.84
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-03,-11.219999999999999
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-04,-2.6800000000000033
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-05,-377.65999999999997
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-08,-50.06
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-09,-945.8599999999999
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-10,-49.46
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-11,30.780000000000005
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-12,18.06
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-15,-12.74
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-16,-208.16
