group,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
target,862,144995.02,144133.1,216.2830626450116,27.60092807424594
time_stop,1092,70106.92,69014.92,147.51282051282053,61.01510989010989
stop_same_bar_conservative,8,-966.88,-974.88,252.5,158.5
invalidation_exit,800,-40604.0,-41404.0,47.85,65.21125
stop,2040,-175776.63,-177816.59,41.96397058823529,113.98259803921569
