group,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
core_midday,2288,-154.86000000000274,-2442.800000000003,97.34353146853147,77.11407342657343
extended_midday,2514,-2090.710000000003,-4604.650000000003,99.7233492442323,79.53261734287987
