candidate_id,trading_session,pnl,trades
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-12-12,372.02,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-12-12,372.02,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-22,360.77,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-22,360.77,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2025-10-10,354.27,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2026-06-05,353.02,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2026-06-05,353.02,2
MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2026-07-02,353.02,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2026-06-05,353.02,2
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2026-06-05,353.02,2
MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2026-07-02,353.02,2
MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2026-07-02,353.02,2
MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2026-07-02,353.02,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2026-06-05,350.89,2
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2026-06-05,350.89,2
