phase9c_rank,candidate_id,timeframe,compression_method,compression_lookback,compression_threshold,time_window,entry_start,entry_end,is_primary_eligible,entry_model,exit_model,direction_mode,target_r,atr_cap_multiple,buffer_ticks,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,instrument,family,trades,active_days,trades_per_active_day,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,quick_or_adverse_stop_count,quick_or_adverse_stop_rate,quick_or_adverse_stop_net,quick_or_adverse_stop_avg_mfe,quick_or_adverse_stop_avg_mae,time_stop_pnl,target_pnl,stop_pnl,invalidation_exit_pnl,session_flatten_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase9c_label,phase9c_score,reject_reasons
31,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,realized_vol_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,28,28,1.0,458.89,430.89,-6.19,95.95,-370.45,0.696812,0.696812,9,0.321429,-1206.97,31.83,181.06,1113.16,552.7,-1206.97,0.0,0.0,-16.96,-31.96,0.5,-131.52,phase9c_rejected_low_activity,-2705.58,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
32,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,atr_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,181,141,1.283688,818.35,637.36,-1129.33,512.82,-1388.47,0.835694,0.582734,90,0.497238,-7015.75,37.92,108.33,1666.92,6828.36,-7676.93,0.0,0.0,-952.43,-1058.42,0.166667,-366.77,phase9c_rejected_negative_validation,-5238.0,negative validation; fold instability; concentration; quick/adverse stops not reduced
33,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,atr_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,24,24,1.0,-166.91,-190.91,-49.64,-331.99,-859.43,1.0,1.0,6,0.25,-958.76,37.0,235.92,791.14,319.19,-1156.38,0.0,0.0,-497.47,-512.47,0.333333,-519.34,phase9c_rejected_low_activity,-5812.81,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
34,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,atr_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,24,24,1.0,-240.79,-264.79,-49.64,-288.49,-820.87,1.0,1.0,3,0.125,-514.42,30.33,251.67,1085.6,319.19,-712.04,-812.68,0.0,-622.47,-637.47,0.166667,-475.84,phase9c_rejected_low_activity,-5973.13,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
35,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,15,atr_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,35,35,1.0,-420.42,-455.42,-66.1,-196.45,-843.44,1.0,1.0,8,0.228571,-1271.86,54.31,201.56,1245.6,552.7,-1271.86,-946.86,0.0,-499.75,-519.75,0.166667,-228.63,phase9c_rejected_low_activity,-6068.61,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
36,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,atr_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,35,35,1.0,-444.75,-479.75,-141.93,-311.45,-867.77,1.0,1.0,12,0.342857,-1844.15,48.38,190.5,846.7,552.7,-1844.15,0.0,0.0,-711.58,-731.58,0.166667,-274.43,phase9c_rejected_low_activity,-6329.1,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
37,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,realized_vol_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,145,117,1.239316,-357.22,-502.21,-256.41,-434.61,-1546.53,1.0,1.0,55,0.37931,-4231.26,30.37,98.87,1360.78,4618.1,-4577.9,-1758.2,0.0,-919.43,-1003.42,0.333333,-547.8,phase9c_rejected_negative_stress,-7302.16,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
38,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,atr_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,181,141,1.283688,585.56,404.57,-1104.38,878.82,-1748.13,1.167925,0.8144,65,0.359116,-4830.05,33.04,102.48,1361.84,6437.21,-5324.87,-1888.62,0.0,-998.35,-1104.34,0.333333,-823.15,phase9c_rejected_negative_validation,-7537.525,negative validation; fold instability; concentration; quick/adverse stops not reduced
39,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,range_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,111,95,1.168421,-1269.85,-1380.85,-583.1,-611.49,-1558.77,1.0,1.0,57,0.513514,-5456.95,44.04,133.74,1806.56,2740.24,-5816.65,0.0,0.0,-1185.44,-1254.44,0.333333,-448.87,phase9c_rejected_negative_stress,-8444.06,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
40,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,15,realized_vol_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,28,28,1.0,179.55,151.55,-29.86,108.78,-469.45,1.780897,1.780897,5,0.178571,-654.35,47.7,174.7,1214.34,552.7,-654.35,-933.14,0.0,-53.8,-68.8,0.5,-196.98,phase9c_rejected_low_activity,-8541.185,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
41,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,realized_vol_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,225,157,1.433121,-405.08,-630.07,-605.04,72.53,-2792.9,1.0,1.0,63,0.28,-5138.74,34.34,101.77,1433.5,7195.03,-5389.51,-3644.1,0.0,-1085.59,-1216.58,0.5,-1431.88,phase9c_rejected_negative_stress,-8889.55,negative stress; negative validation; fold instability; concentration; quick/adverse stops not reduced
42,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,range_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,111,95,1.168421,-1865.88,-1976.88,-468.03,-636.42,-1872.63,1.0,1.0,37,0.333333,-3343.93,43.47,127.09,1559.48,2286.71,-3703.63,-2008.44,0.0,-1407.8,-1476.8,0.333333,-776.84,phase9c_rejected_negative_stress,-9576.31,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
43,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,range_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,163,133,1.225564,-1997.24,-2160.24,-458.81,-128.07,-2319.8,1.0,1.0,37,0.226994,-3623.87,47.78,125.89,1528.96,4359.13,-3835.35,-4049.98,0.0,-1205.02,-1304.02,0.333333,-1336.11,phase9c_rejected_negative_stress,-10034.06,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
44,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,atr_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,270,182,1.483516,-681.97,-951.97,-1023.96,509.26,-3511.78,1.0,1.0,80,0.296296,-6700.2,31.73,113.44,1739.54,8603.83,-6866.42,-4158.92,0.0,-1755.93,-1916.93,0.333333,-1993.05,phase9c_rejected_negative_stress,-10630.68,negative stress; negative validation; fold instability; concentration; quick/adverse stops not reduced
45,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,range_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,163,133,1.225564,-2915.33,-3078.33,-392.63,-959.89,-2968.86,1.0,1.0,87,0.533742,-8776.33,43.64,129.0,1239.12,5342.2,-9496.65,0.0,0.0,-2136.13,-2235.13,0.333333,-1375.9,phase9c_rejected_negative_stress,-12532.32,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
46,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,atr_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,270,182,1.483516,-1397.41,-1667.41,-1323.83,-186.04,-4131.16,1.0,1.0,151,0.559259,-12236.43,34.24,107.86,2002.76,9636.16,-13036.33,0.0,0.0,-2704.61,-2865.61,0.333333,-2021.62,phase9c_rejected_negative_stress,-12914.18,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
47,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,realized_vol_percentile,8,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,145,117,1.239316,191.82,46.83,-292.99,-413.99,-1167.19,2.555886,1.49364,73,0.503448,-5980.03,37.79,106.74,1795.88,4750.73,-6354.79,0.0,0.0,-496.21,-580.2,0.333333,-459.61,phase9c_rejected_negative_validation,-13729.99,negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
48,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,realized_vol_percentile,8,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,225,157,1.433121,28.01,-196.98,-544.55,-293.47,-2306.11,22.876473,14.209568,116,0.515556,-9512.49,35.77,107.58,1911.74,8261.98,-10145.71,0.0,0.0,-1004.24,-1135.23,0.333333,-1177.2,phase9c_rejected_negative_stress,-117270.685,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
