phase8l_filter_rank,filter_id,filter_family,axis,bucket,source_action_id,source_action_rank,action_rule,evidence,promotion_allowed,kept_trade_count,removed_trade_count,kept_active_sessions,active_session_pct,net_pnl,stress_net_pnl,discovery_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,walk_forward_folds,walk_forward_test_trades,walk_forward_test_net_pnl,walk_forward_test_stress_net_pnl,walk_forward_test_positive_folds,walk_forward_test_positive_fold_pct,walk_forward_worst_test_fold_pnl,walk_forward_max_test_drawdown,walk_forward_test_best_day_concentration,walk_forward_test_best_trade_concentration,phase8l_score,phase8l_label,phase8l_notes
1,exclude:weekday:Wednesday,exclude_bucket,weekday,Wednesday,phase8k_retest_exclude_weekday_wednesday,1,exclude weekday=Wednesday,test_pnl=-3559.24; validation_pnl=-1977.84; test_trades=201,False,1738,427,139,0.794286,16498.38,14760.38,5503.34,1065.5,9929.54,-4448.9,0.227151,0.034474,3,761,10848.86,10087.86,2,0.666667,-888.04,-3897.62,1.0,1.0,68.3595,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
2,exclude:minute_bucket:12:30-13:00,exclude_bucket,minute_bucket,12:30-13:00,phase8k_retest_exclude_minute_bucket_12_30_13_00,4,exclude minute_bucket=12:30-13:00,test_pnl=-1183.66; validation_pnl=-162.38; test_trades=59,False,2039,126,175,1.0,13647.14,11608.14,4165.6,2003.04,7478.5,-4976.32,0.274608,0.041676,3,903,8473.28,7570.28,2,0.666667,-1709.7,-4561.34,1.117493,1.0,60.6907,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
3,exclude:minute_bucket:11:30-12:00,exclude_bucket,minute_bucket,11:30-12:00,phase8k_retest_exclude_minute_bucket_11_30_12_00,8,exclude minute_bucket=11:30-12:00,test_pnl=378.10; validation_pnl=-420.64; test_trades=85,False,1994,171,175,1.0,12814.94,10820.94,4945.4,2060.24,5809.3,-4845.02,0.292441,0.044383,3,877,6911.52,6034.52,2,0.666667,-1039.92,-4196.6,1.152022,1.0,48.3684,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
4,exclude:minute_bucket:11:00-11:30,exclude_bucket,minute_bucket,11:00-11:30,phase8k_retest_exclude_minute_bucket_11_00_11_30,7,exclude minute_bucket=11:00-11:30,test_pnl=186.86; validation_pnl=-506.12; test_trades=61,False,2005,160,175,1.0,13405.8,11400.8,5317.0,2499.78,5589.02,-5479.54,0.249191,0.042426,3,901,7102.76,6201.76,2,0.666667,-1825.68,-5141.1,1.294944,1.0,40.5381,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
5,exclude:weekday:Tuesday,exclude_bucket,weekday,Tuesday,phase8k_retest_exclude_weekday_tuesday,3,exclude weekday=Tuesday,test_pnl=-2204.12; validation_pnl=-60.98; test_trades=188,False,1731,434,140,0.8,14056.06,12325.06,3137.68,687.6,10230.78,-5964.68,0.26662,0.040464,3,774,9493.74,8719.74,2,0.666667,-1566.84,-3319.12,1.316373,1.0,33.6312,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
6,baseline_phase8j,baseline,all,all,baseline_phase8j,0,keep all Phase 8J filtered trades,Phase 8J pre-14 baseline for Phase 8L comparison,False,2165,0,175,1.0,13587.9,11422.9,5154.32,1699.98,6733.6,-5130.06,0.275806,0.041858,3,962,7289.62,6327.62,2,0.666667,-1537.48,-4492.74,1.84849,1.0,-13.6404,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
7,exclude:rth_bucket:10:00-11:00,exclude_bucket,rth_bucket,10:00-11:00,phase8k_retest_exclude_rth_bucket_10_00_11_00,5,exclude rth_bucket=10:00-11:00,test_pnl=-832.22; validation_pnl=947.24; test_trades=303,False,1536,629,174,0.994286,11931.86,10395.86,3090.32,803.66,8037.88,-5309.58,0.314085,0.047667,3,659,8121.84,7462.84,2,0.666667,-516.88,-2240.26,2.300096,1.0,-60.6295,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
8,exclude:minute_bucket:13:30-14:00,exclude_bucket,minute_bucket,13:30-14:00,phase8k_retest_exclude_minute_bucket_13_30_14_00,6,exclude minute_bucket=13:30-14:00,test_pnl=-33.56; validation_pnl=923.14; test_trades=44,False,2043,122,175,1.0,13302.68,11259.68,4730.48,1467.04,7105.16,-5202.24,0.281719,0.042755,3,918,7323.18,6405.18,2,0.666667,-1961.6,-4561.02,2.964597,1.0,-116.893,phase8l_watchlist_needs_strategy_remap,not every walk-forward test fold is positive; walk-forward day concentration risk; walk-forward trade concentration risk
9,exclude:minute_bucket:10:00-10:30,exclude_bucket,minute_bucket,10:00-10:30,phase8k_retest_exclude_minute_bucket_10_00_10_30,2,exclude minute_bucket=10:00-10:30,test_pnl=-2626.08; validation_pnl=-597.74; test_trades=167,False,1802,363,175,1.0,13225.52,11423.52,2667.96,2239.2,8318.36,-4942.88,0.283363,0.043005,3,795,9915.7,9120.7,3,1.0,296.46,-3116.16,5.554746,0.736221,-328.5209,phase8l_watchlist_needs_strategy_remap,walk-forward day concentration risk; walk-forward trade concentration risk
