phase8i_rank,filter_id,filter_family,filter_params_json,description,kept_trade_count,kept_active_sessions,active_session_pct,net_pnl,stress_net_pnl,discovery_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,phase8i_score,phase8i_label,phase8i_notes
1,time_window:pre_14_00,time_window,"{""end"": ""14:00"", ""start"": ""09:30""}",Only entries before 14:00 ET.,2165,175,1.0,13587.9,11422.9,5154.32,1699.98,6733.6,-5130.06,0.275806,0.041858,110.6297,phase8i_filter_candidate,survives split-aware no-lookahead filter diagnostic
2,exclude_window:late_after_14,exclude_time_window,"{""exclude_end"": ""16:00"", ""exclude_start"": ""14:00""}",Exclude entries at/after 14:00 ET.,2165,175,1.0,13587.9,11422.9,5154.32,1699.98,6733.6,-5130.06,0.275806,0.041858,110.6297,phase8i_filter_candidate,survives split-aware no-lookahead filter diagnostic
3,weekday:mon_thu_fri,weekday,"{""days"": [0, 3, 4]}",Keep Monday/Thursday/Friday entries.,1559,104,0.594286,14107.84,12548.84,2108.76,90.26,11908.82,-5198.14,0.216063,0.040315,97.5931,phase8i_filter_candidate,survives split-aware no-lookahead filter diagnostic
4,weekday:exclude_tue_wed,weekday,"{""exclude_days"": [1, 2]}",Exclude Tuesday/Wednesday entries.,1559,104,0.594286,14107.84,12548.84,2108.76,90.26,11908.82,-5198.14,0.216063,0.040315,97.5931,phase8i_filter_candidate,survives split-aware no-lookahead filter diagnostic
5,time_window:midday_12_14,time_window,"{""end"": ""14:00"", ""start"": ""12:00""}",Only midday continuation entries.,499,91,0.52,3410.24,2911.24,2318.02,406.56,685.66,-1580.38,0.273541,0.119863,42.6111,phase8i_filter_candidate,survives split-aware no-lookahead filter diagnostic
6,time_window:first_90,time_window,"{""end"": ""11:00"", ""start"": ""09:30""}",Only entries before 11:00 ET.,1335,174,0.994286,9222.6,7887.6,2790.06,2453.48,3979.06,-5419.42,0.362219,0.06167,113.4289,phase8i_watchlist_needs_validation,one-day concentration risk
7,time_window:morning,time_window,"{""end"": ""12:00"", ""start"": ""09:30""}",Only entries before noon ET.,1666,174,0.994286,10177.66,8511.66,2836.3,1293.42,6047.94,-5607.66,0.36822,0.055883,103.712,phase8i_watchlist_needs_validation,one-day concentration risk
8,baseline_all,all,{},Keep every de-duplicated baseline trade.,2597,175,1.0,8578.72,5981.72,2081.18,1720.6,4776.94,-6801.92,0.355319,0.066299,91.0119,phase8i_watchlist_needs_validation,drawdown beyond limit; one-day concentration risk
9,time_window:first_30,time_window,"{""end"": ""10:00"", ""start"": ""09:30""}",Only entries in the first RTH half-hour.,706,164,0.937143,7566.56,6860.56,726.06,1557.16,5283.34,-5063.04,0.441495,0.075168,88.2884,phase8i_watchlist_needs_validation,one-day concentration risk
