candidate_id,level_type,interaction_family,side,average_correlation_to_playbook,max_correlation_to_playbook
MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,long,0.08487,0.166188
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,long,0.086448,0.142503
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,long,0.087328,0.160396
MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,reclaim_after_breach,short,0.068131,0.169445
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,breakout_hold,short,0.062159,0.155041
MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,reclaim_after_breach,short,0.058147,0.1453
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,breakout_hold,short,0.055017,0.170444
MNQ_14a_prior_rth_close_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,breakout_hold,short,0.119992,0.221652
MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,reclaim_after_breach,short,0.053781,0.161206
MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,reclaim_after_breach,short,0.110991,0.21917
