candidate_id,signal_time,confirmation_time,entry_time,trading_session,level_type,interaction_family,side,confirmation_model,exit_variant,selected_prior_level,prior_rth_close,prior_rth_midpoint,prior_rth_session,signal_open,signal_close,signal_high,signal_low,atr,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,split
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-16 13:05:00-04:00,2025-07-16 13:05:00-04:00,2025-07-16 13:10:00-04:00,2025-07-16,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23052.0,23052.0,23136.375,2025-07-15,23048.75,23056.25,23065.75,23046.75,26.446428571428573,13,23056.5,2025-07-16 13:25:00-04:00,23046.5,stop,23046.5,23023.442,23046.5,23071.5,-20.0,-22.74,-23.74,23.0,40.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-23 11:50:00-04:00,2025-07-23 11:50:00-04:00,2025-07-23 11:55:00-04:00,2025-07-23,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23221.0,23221.0,23227.375,2025-07-22,23215.0,23262.5,23289.0,23212.25,21.839285714285715,38,23262.5,2025-07-23 12:10:00-04:00,23235.2009,stop,23212.0,23235.2009,23235.2009,23303.4487,-54.6,-57.34,-58.34,63.0,79.0,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-24 10:15:00-04:00,2025-07-24 10:15:00-04:00,2025-07-24 10:20:00-04:00,2025-07-24,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23324.5,23324.5,23233.75,2025-07-23,23312.5,23334.75,23340.0,23301.25,38.8,61,23334.5,2025-07-24 10:50:00-04:00,23367.0,time_stop,23301.0,23286.0,23301.0,23392.0,65.0,62.26,61.26,74.5,26.0,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-29 11:45:00-04:00,2025-07-29 11:45:00-04:00,2025-07-29 11:50:00-04:00,2025-07-29,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23491.75,23491.75,23482.375,2025-07-28,23458.75,23498.0,23505.5,23458.75,28.071428571428573,14,23498.0,2025-07-29 12:20:00-04:00,23474.25,time_stop,23458.5,23462.9107,23462.9107,23550.6339,-47.5,-50.24,-51.24,43.5,50.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-31 11:15:00-04:00,2025-07-31 11:15:00-04:00,2025-07-31 11:20:00-04:00,2025-07-31,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23484.25,23484.25,23472.375,2025-07-30,23505.0,23504.25,23514.25,23483.75,38.464285714285715,25,23503.75,2025-07-31 11:50:00-04:00,23567.0,time_stop,23483.5,23455.6696,23483.5,23610.5,126.5,123.76,122.76,161.0,23.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-05 10:15:00-04:00,2025-08-05 10:15:00-04:00,2025-08-05 10:20:00-04:00,2025-08-05,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23296.75,23296.75,23198.375,2025-08-04,23313.5,23309.75,23324.5,23292.75,39.55,0,23309.75,2025-08-05 10:20:00-04:00,23292.5,stop,23292.5,23260.3125,23292.5,23392.75,-34.5,-37.24,-38.24,0.0,64.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-07 12:45:00-04:00,2025-08-07 12:45:00-04:00,2025-08-07 12:50:00-04:00,2025-08-07,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23424.75,23424.75,23296.75,2025-08-06,23411.0,23426.75,23429.5,23390.0,34.732142857142854,8,23426.75,2025-08-07 13:20:00-04:00,23454.5,time_stop,23389.75,23383.3348,23389.75,23512.75,55.5,52.76,51.76,122.5,24.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-11 10:00:00-04:00,2025-08-11 10:00:00-04:00,2025-08-11 10:05:00-04:00,2025-08-11,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23713.75,23713.75,23627.25,2025-08-08,23744.75,23726.25,23748.0,23710.75,33.25,42,23726.5,2025-08-11 10:35:00-04:00,23748.25,time_stop,23710.5,23684.9375,23710.5,23750.5,43.5,40.76,39.76,82.0,7.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-12 10:00:00-04:00,2025-08-12 10:00:00-04:00,2025-08-12 10:05:00-04:00,2025-08-12,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23638.5,23638.5,23695.75,2025-08-11,23654.0,23663.5,23666.75,23622.0,65.03571428571429,64,23663.75,2025-08-12 10:35:00-04:00,23763.0,time_stop,23621.75,23582.4554,23621.75,23808.5,198.5,195.76,194.76,207.5,11.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-13 10:45:00-04:00,2025-08-13 10:45:00-04:00,2025-08-13 10:50:00-04:00,2025-08-13,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,23934.0,23934.0,23785.625,2025-08-12,23967.0,23958.75,23969.0,23932.5,28.464285714285715,18,23958.75,2025-08-13 11:00:00-04:00,23932.25,stop,23932.25,23923.1696,23932.25,24005.0,-53.0,-55.74,-56.74,22.5,57.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
