phase14a_rank,candidate_id,instrument,level_type,interaction_family,side,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,invalid_risk_skipped_count,signals_found,paper_trading_approved,official_gates_passed,phase14a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase14a_score
11,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,rejection_from_level,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,73,73,1.0,579.16,379.14,306.14,161.41,437.23,-1032.6,1.637284,1.637284,75.47,65.38,167.36,122.36,0.5,-416.62,0.102619,0.268422,0.168244,0.312636,66,1,0,73,False,False,phase14a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,diversifier_module,fold instability; concentration,-579.1
12,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,80,80,1.0,1201.36,982.16,902.16,-13.89,324.89,-882.51,0.648326,0.648326,138.72,95.61,-557.98,-604.98,0.166667,-299.96,0.101069,0.307559,0.072113,0.163993,66,0,0,80,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,-585.33
13,MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,76,76,1.0,973.55,765.31,689.31,17.85,-23.37,-957.53,0.832029,0.832029,130.61,95.89,-454.31,-499.31,0.333333,-307.04,0.108159,0.337161,0.085581,0.188592,63,0,0,76,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative holdout; fold instability; concentration,-767.53
14,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,90,90,1.0,743.1,496.5,406.5,-263.15,593.65,-909.61,0.804149,0.804149,112.26,88.48,-447.53,-498.53,0.333333,-355.49,0.130775,0.294529,0.090889,0.242247,76,1,0,90,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,-976.64
15,MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,85,85,1.0,710.02,477.12,392.12,-211.91,275.39,-960.21,0.836813,0.836813,107.23,91.64,-498.13,-547.13,0.166667,-355.49,0.13594,0.309614,0.094884,0.256986,72,1,0,85,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,-1090.22
16,MNQ_14a_prior_rth_close_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,rejection_from_level,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,78,78,1.0,345.52,131.8,53.8,-554.98,473.6,-823.75,3.201442,3.201442,71.95,60.38,-345.96,-391.96,0.5,-394.47,0.043356,0.431501,0.04329,0.161041,68,1,0,78,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,-1136.91
17,MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,57,57,1.0,10.76,-145.42,-202.42,46.3,-375.38,-762.7,1.0,1.0,87.27,77.69,-256.34,-287.34,0.333333,-377.4,0.036803,0.178324,0.079276,0.139535,46,1,0,57,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-1227.46
18,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,68,68,1.0,-130.85,-317.17,-385.17,-14.64,15.92,-665.1,1.0,1.0,97.9,70.71,-223.36,-262.36,0.333333,-288.96,0.037962,0.153575,0.040085,0.092531,55,0,0,68,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-1312.63
19,MNQ_14a_prior_rth_close_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,rejection_from_level,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,86,86,1.0,68.75,-166.89,-252.89,-100.58,308.43,-1368.66,1.0,1.0,72.32,72.3,43.28,-9.72,0.666667,-224.9,0.094132,0.239833,0.142947,0.287045,77,1,0,86,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-1606.27
20,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,rejection_from_level,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,73,73,1.0,106.41,-93.61,-166.61,39.66,182.73,-1327.35,1.0,1.0,81.36,67.2,-273.89,-318.89,0.333333,-416.62,0.094987,0.279096,0.187342,0.329718,66,1,0,73,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; fold instability; concentration,-1787.85
