phase14a_rank,candidate_id,instrument,level_type,interaction_family,side,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,invalid_risk_skipped_count,signals_found,paper_trading_approved,official_gates_passed,phase14a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase14a_score
39,MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,76,76,1.0,-1718.35,-1926.59,-2002.59,-511.01,-477.47,-1988.27,1.0,1.0,77.67,96.4,-1205.18,-1251.18,0.333333,-448.29,0.07894,0.194377,0.08487,0.166188,64,1,0,76,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-5217.04
40,MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,72,72,1.0,-1530.74,-1728.02,-1800.02,-120.9,-1064.69,-1855.87,1.0,1.0,60.58,74.88,-1565.19,-1607.19,0.166667,-1035.5,0.054054,0.134168,0.086448,0.142503,60,1,0,72,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-5238.08
41,MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,72,72,1.0,-1845.49,-2042.77,-2114.77,-121.4,-1082.44,-2006.12,1.0,1.0,63.62,77.39,-1715.44,-1757.44,0.166667,-1009.0,0.053723,0.141878,0.087328,0.160396,60,1,0,72,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-5853.33
42,MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,reclaim_after_breach,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,104,104,1.0,-1387.43,-1672.4,-1776.4,-341.12,-1299.53,-2328.71,1.0,1.0,84.28,87.78,-1936.51,-1994.51,0.333333,-1067.54,0.104207,0.271839,0.068131,0.169445,93,1,0,104,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-6074.62
43,MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,86,86,1.0,-1633.02,-1868.66,-1954.66,-879.45,98.14,-2521.26,1.0,1.0,82.26,92.34,-1602.98,-1648.98,0.0,-604.64,0.07898,0.199807,0.062159,0.155041,75,1,0,86,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-6099.9
44,MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,reclaim_after_breach,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,91,91,1.0,-2018.5,-2267.84,-2358.84,-992.17,16.9,-2898.03,1.0,1.0,79.63,94.04,-1827.6,-1878.6,0.0,-701.12,0.074764,0.19429,0.058147,0.1453,80,1,0,91,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-7110.47
45,MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,86,86,1.0,-1950.95,-2186.59,-2272.59,-879.45,-244.42,-2786.01,1.0,1.0,95.71,92.34,-2045.6,-2091.6,0.0,-604.64,0.072751,0.193753,0.055017,0.170444,75,1,0,86,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-7125.2
46,MNQ_14a_prior_rth_close_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,breakout_hold,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,97,97,1.0,-1582.7,-1848.48,-1945.48,-683.86,-1445.17,-3240.82,1.0,1.0,110.88,88.13,-2898.11,-2951.11,0.0,-1124.8,0.097312,0.402101,0.119992,0.221652,86,1,0,97,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-8112.41
47,MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,reclaim_after_breach,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,91,91,1.0,-2352.56,-2601.9,-2692.9,-992.17,-325.66,-3151.67,1.0,1.0,91.34,94.04,-2301.35,-2352.35,0.0,-701.12,0.069387,0.189115,0.053781,0.161206,80,1,0,91,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-8171.92
48,MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,reclaim_after_breach,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,104,104,1.0,-1982.81,-2267.77,-2371.77,-708.16,-1579.15,-3406.13,1.0,1.0,102.9,90.69,-3036.92,-3094.92,0.0,-1215.04,0.096654,0.403193,0.110991,0.21917,93,1,0,104,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-8847.82
