candidate_id,level_type,interaction_family,side,average_correlation_to_registry,max_correlation_to_registry
MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,long,0.07894,0.194377
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,long,0.054054,0.134168
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,long,0.053723,0.141878
MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,reclaim_after_breach,short,0.104207,0.271839
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,breakout_hold,short,0.07898,0.199807
MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,reclaim_after_breach,short,0.074764,0.19429
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,breakout_hold,short,0.072751,0.193753
MNQ_14a_prior_rth_close_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,breakout_hold,short,0.097312,0.402101
MNQ_14a_prior_rth_close_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,reclaim_after_breach,short,0.069387,0.189115
MNQ_14a_prior_rth_close_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,reclaim_after_breach,short,0.096654,0.403193
