entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,candidate_id,instrument,family,variant,params,signal_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-05-05 10:15:00-04:00,28055.0,2026-05-05 10:15:00-04:00,28032.25,target,28069.75,28032.25,45.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-05 10:14:00-04:00,2026-05-05,short,vwap_failure_short,2.74,3.74,42.76,41.76,discovery,10:15
2026-05-05 10:18:00-04:00,28080.75,2026-05-05 10:18:00-04:00,28065.5,stop,28065.5,28103.0,-30.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-05 10:17:00-04:00,2026-05-05,long,vwap_reclaim_long,2.74,3.74,-33.24,-34.24,discovery,10:18
2026-05-05 10:19:00-04:00,28044.75,2026-05-05 10:20:00-04:00,28060.5,stop,28060.5,28023.0,-31.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-05 10:18:00-04:00,2026-05-05,short,vwap_failure_short,2.74,3.74,-34.24,-35.24,discovery,10:19
2026-05-06 09:51:00-04:00,28429.0,2026-05-06 09:51:00-04:00,28443.75,stop,28443.75,28406.25,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-06 09:50:00-04:00,2026-05-06,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,09:51
2026-05-06 09:52:00-04:00,28457.75,2026-05-06 09:54:00-04:00,28480.5,target,28443.0,28480.5,45.5,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-06 09:51:00-04:00,2026-05-06,long,vwap_reclaim_long,2.74,3.74,42.76,41.76,discovery,09:52
2026-05-06 10:03:00-04:00,28438.0,2026-05-06 10:04:00-04:00,28415.0,target,28452.5,28415.0,46.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-06 10:02:00-04:00,2026-05-06,short,vwap_failure_short,2.74,3.74,43.26,42.26,discovery,10:03
2026-05-07 09:51:00-04:00,28750.25,2026-05-07 09:51:00-04:00,28735.5,stop,28735.5,28773.0,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-07 09:50:00-04:00,2026-05-07,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,09:51
2026-05-07 09:52:00-04:00,28727.25,2026-05-07 09:52:00-04:00,28742.25,stop,28742.25,28704.75,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-07 09:51:00-04:00,2026-05-07,short,vwap_failure_short,2.74,3.74,-32.74,-33.74,discovery,09:52
2026-05-07 09:53:00-04:00,28753.5,2026-05-07 09:54:00-04:00,28776.0,target,28738.5,28776.0,45.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-07 09:52:00-04:00,2026-05-07,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,09:53
2026-05-11 09:50:00-04:00,29365.25,2026-05-11 09:50:00-04:00,29380.75,stop,29380.75,29343.25,-31.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-11 09:49:00-04:00,2026-05-11,short,vwap_failure_short,2.74,3.74,-33.74,-34.74,discovery,09:50
2026-05-11 10:06:00-04:00,29371.0,2026-05-11 10:11:00-04:00,29356.5,stop,29356.5,29394.0,-29.0,5,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-11 10:05:00-04:00,2026-05-11,long,vwap_reclaim_long,2.74,3.74,-31.740000000000002,-32.74,discovery,10:06
2026-05-11 10:27:00-04:00,29353.25,2026-05-11 10:27:00-04:00,29331.75,target,29369.25,29331.75,43.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-11 10:26:00-04:00,2026-05-11,short,vwap_failure_short,2.74,3.74,40.26,39.26,discovery,10:27
