group,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
short,2998,-351.3300000000041,-3349.330000000004,121.15393595730487,95.62575050033355
long,3404,-14199.770000000002,-17603.77,89.14101057579319,86.23149236192714
